authors
"Suwardi;Sumawinata, Basuki;Rahmi, Eka"
"Jakaria;Arifiantini, Iis;Sitanggang, Gunawan"
"Hernowo, Jarwadi Budi;Prasetyo, Lilik Budi;Brillianti, Dwitantian Hawa"
"Krisantini;Wiendi, Ni Made Armini;Janati, Rahayu Ning"
"Kaswanto;Putri, Meiliwati Widya"
"Khumaida, Nurul;Ardie, Sintho Wahyuning;Sansurya, Mohammad Erison Caesar"
"Hidayat, Purnama;Afifah, Mauliddini Nur"
"Wiendi, Ni Made Armini;Krisantini;Hani', Rizkiya"
"Suprayudi, Muhammad Agus;Jusadi, Dedi;Ekasari, Julie;Anugrah"
"Soviana, Susi;Hadi, Upik Kesumawati;Kamiring, Azery Bin"
"i Harahap, Idham Sakt;Rafidatillah, Ulfa"
"Munif, Abdul;Wulandari, Rafika Ridwan"
"Sinaga, Meity Suradji;Mardhatillah, Zahrusyka"
"Santosa, Edi;Tiffani"
"Guntoro, Dwi;Utomo, Wahyu"
"Mustika, Aulia Andi;Wintarsih, Ietje;Fadhillah, Anna Aesha"
"Indrawati, Agustin;Afiff, Usamah;Nugroho, Aditya Sandi"
"Nirmala, Kukuh;Djokosetyanto, Daniel;Sukowati, Aniek Suryani"
"Fuah, Asnath M.;Endrawati, Yuni Cahya;Hapsari, Danes Galuh Pramudhita Lingga"
"Priyanto, Rudy;Aditia, Edit Lesa;Pangestu, Muhammad Bintang"
"Tursiloadi, Silvester;Suryani, Ani;Tsany, Farah Athiyyah"
"Purwanto, Muhammad Yannuar Jarwadi;Widiatmaka;Prasetyo, Lilik B.;Budianto, Bambang Setio"
"Khomsan, Ali;Sukandar, Dadang;Riyadi, Hadi;Yulia, Cica"
"Nahrowi;Ridla, Muhammad;Yaman, Aman;Setiyono, Agus;Allaily"
"Sumardjo;Sarwititi, Sarwoprasodjo;Tambuan, Armansyah Halomoan;Luqman, Yanuar"
"Sucahyo;Nugroho, Naresworo;Karlinasari, Lina;Herawati, Evalina"
"Wiendi, Ni Made Armini;Rianawati, Sri;Musalamah"
"Ariyanti, Nunik Sri;Rifai, Mien Ahmad;Lestari, Ria Windi"
"Hestirianoto, Totok;Pujiyati, Sri;Randhi, Zulfathri"
"Sulistyaningsih, Yohana C.;Djuita, Nina Ratna;Apriliasih, Winny Wulan"
"Mulyati, Heti;Wijaya, Nur Hadi;Ramadhani, Bayu Galang"
"Pasaribu, Syamsul Hidayat;Martis, Nur'aina Ibrahim"
"Mulijani, Sri;Wulanawati, Armi;Tambunan, Veronica May"
"Batubara, Irmanida;Rohaeti, Eti;Sumaiyah"
"Purwaningsih, Henny;Sjahriza, Ahmad;Pauliana, Syariefianti"
"Iskandar, Hermanu Widjaja;Prasetya, Agung"
"Hazra, Fahrizal;Santosa, Dwi Andreas;Helmi, Robbi Aulia"
"Ilyas, Satriyas;Manohara, Dyah;Hikmawati, Ainun Nur Maulidina"
"Guntoro, Dwi;Dalimunthe, Rivai"
"Wachjar, Ade;Direja, Wahyu Angga"
"Utami, Fitriyah Nurul H;Situmorang, Juan Ponce"
"Santoso, Sugeng;Lubis, Windar Hidayati"
"Suharsi, Tatiek Kartika;Syukur, Muhamad;Zebua, Mercy Julinda"
"Makelew, Afra D.N;Habi, Muchammad Syaif"
"Supramana;Mutaqin, Kikin Hamzah;Diana, Didiet Rahayu"
"Purwangka, Fis;Iskandar, BH;Jannah, Nurul Faizatil"
"Siregar, Hermanto;Putri, Eka Intan Kumala;Djajuli, Idja"
"Juliandi, Berry;Boediono, Arief;Sitanggang, Fajar Islam"
"Nirmala, Kukuh;Hastuti, Yuni Puji;Pratiknyo, Titis"
"Kawaroe, Mujizat;Wardiatno, Yusli;Saga, Muh. Mufty Izmu Abdillah"
"Gaol, Jonson Lumban;Nurjaya, I Wayan;Nurherdianto, Wahyu"
"Puspitawati, Herien;Yuliati, Noor Lilik;Laili, Mahsiani Mina"
"Saefuddin, Asep;Indahwati;Mardiah"
"Evvyernie, Dwiera;Harlina, Eva;Pujioktari, Preti"
"Abdullah, Luki;Yaman, M. Aman;Kumalasari, Nur Rochmah;Rosadi, Kathleya"
"Wahyuni, Ekawati Sri;Agusta, Ivanovich;Dewi, Marlina Afrian"
"Yonvitner;Imran, Zulhamsyah;Bibin, Muhammad"
"Zairin, Muhammad Junior;Alimuddin;Widanarni;Siregar, Khoirotun Nisa"
"Hardjanto;Sunkar, Arzyana;Haerullah, Medi"
"Pramudya, Bambang;Sumarno, Joshua Ronald"
"Hanif, Novriyandi;Setiawan, Andi;Yanti, Heri"
"Arif;Wahyuni, Wulan Tri;Maryam, Nova Lita Sri"
"Wulanawati, Armi;Hoerudin;Fabriany, Sintya Dico"
"Sukoco, Heru;Muhammad, Fahmi Dzilikram"
"Mulijani, Sri;Wulanawati, Armi;Madya, M. Miftahul"
"Perwitasari, Raden Roro Dyah;Mulyani, Yeni Aryati;Sahari, Bandung;Nurfaidah, Diane"
"Hasan, Akmad Endang Zainal;Julistiono, Heddy;Akbar, Geodani"
"Andrianto, Dimas;Rasyid, LA Harun Al;Pratama, Muhammad Rastra Teguh"
"Heryanto, Rudi;Wahyuni, Wulan Tri;Prianti, Heapy"
"Wahjunie, Ennie Dwi;Baskoro, Dwi Putro Tejo;Kaiwa, Ogan"
"Khrisrachmansyah, Rezky;Nasrullah, Nizar;Imany, Wulidatul Binuril"
"Poerwanto, Roedhy;Efendi, Darda;Lieka, Metta Gitania"
"Winasa, I Wayan;Najah, Siti Kamila"
"Muhamad;Silaban, Yohanes Wijayanto"
"Poerwanto, Roedhy;Efendi, Darda;Maulana, Mohamad Akhbar"
"Purnamawati, Heni;Zaman, Sofyan;Wijaya, Rivandi"
"Uju;Suptijah, Pipih;Sandria, Nofri"
"Lubis, Djuara P;Sarma, Ma'mun;Reza, Muhammad"
"Adrianto, Luky;Kamal, Mohammad Mukhlis;Setiyaningsih, Nanik"
"Kaswanto;Arifin, Hadi Susilo;Prastiyo, Yulius Budi"
"Koropitan, Alan Frendy;Zamani, Neviaty Putri;Idris, Muhamad Kemal"
"Sutriah, Komar;Sari, Yessie Widya;Sylvani, Miranti Maya"
"Puspito, Gondo;Wahju, Ronny Irawan;Rihmi, Mihrobi Khalwatu"
"Muljono, Pudji;Sitanggang, Imas Sukaesih;Rachmawati"
"Budiastra, I Wayan;Hawino, Christiandy"
"Astuti, Rika Indri;Listiyowati, Sri;Asshoolihah, Baaqiyatu"
"Setiyono, Agus;Hasan, Akhmad Endang Zainal;Dewi, Anggun Nia"
"Sugita, Purwantingsih;Khotib, Muhammad;Fakhrullah, Fadli"
"Pramuhadi, Gatot;Suryani, Yeni"
"Sitanggang, Imas Sukaesih;Putri, Dea Ayu Andini"
"Khotimah, Husnul;Jannah, Aulya Rhoudlhathul"
"Hanum, Farida;Supriyo, Prapto Tri;Martiana, Tia Ayu"
"Putri, Eka Intan Kumala;Dewi, Ajeng Yulia"
"Ekayani, Meti;Tampobolon, Bahroin Idris;Kartikasari, Deasy"
"Hubeis, Musa;Primassanti, Dissa"
"Sukmawati, Anggraini;Dewi, Fitri Kurnia"
"Novianti, Tanti;Ali, Khalifah Muhamad;Qoriatusadiah"
"Nurmalina, Rita;Bhinaryanti, Ina"
"Tinaprilla, Netti;Wahyu, Hafizd"
"Suharno;Fauziyyah, Muhjah"
"Pasaribu, Syamsul Hidayat;Nadia, Nufita"
"Murtini, Sri;Esfandiari, Anita;Ramdhani, Ervan Raka"
"Wahju, Roni Irawan;Diniah;Hakim, Fahrurrozi"
"Santoso, Koekoeh;Latif, Hadri;Wida, Putri Gusfani"
"Wahjuningrum, Dinamella;Ismet, Meutia Samira;Suryani, Nina"
"Wresdiyati, Tutik;Noviana, Deni;Putra, Prima Prasetya"
"Samosir, M Agustinus;Nurjaya, I Wayan;Setiawan, Herlambang Diah"
"Sunartatie, Titiek;Afiff, Usamah;Rochman, RM Rizal Dwinto"
"Oktariza, Wawan;Astarini, Julia Eka;Faisal, Mhd"
"Pratiwi, Niken Tunjung Murti;Ayu, Inna Puspa;Puspaningrum, Vena Ramdhania"
"Suryaningtyas, Dyah Tjahyandari;Darmawan;Rosalina, Febrianti"
"Tiryana, Tatang;Malau, Irene Fransiska"
"Arifjaya, Nana Mulyana;Wardhani, Annisa Choerinita Kusuma"
"Arifjaya, Nana Mulyana;Saadah, Khatimatus"
"Sumantri, Cece;Darwati, Sri;Cholifah, Umi Nur"
"Siswoyo;Sari, Rita Kartika;Karim, Fira Rizka"
"Najib, Mukhamad;Syamsun, Muhammad;Putra, Gershanda Ghiffari Dwi"
"Trison, Soni;Damayanti, Dewi"
"Syafii, Wasrin;Yusra, Izzatul"
"Sartono, Bagus;Indahwati;Silaban, Irene Imelda Juliaty"
"Farajallah, Achmad;Wardiatno, Yusli;Miura, Takeshi;Mulyana, Jeane Siswitasari"
"Rukmiasih;Fakhrudin, Mokh;Hardjosworo, Peni Soeprapti;Lase, Jonathan Anugrah"
"Muhandri, Tjahja;Utomo, Andika Wahyu"
"Budijanto, Slamet;Sitanggang, Azis Boing;Khairunnisa, Karimah"
"Adawiyah, Robiatul;Simaratika, Vincentia Septi;Prayoga, Aditya"
"Desrial;Farhah, Cut Sharfina"
"Sugiarto;Supriatna, Ade"
"Fardiaz, Dedi;Hastarini, Ema;Budijanto, Slamet;Khamidah, Siti Zakiyatul"
"Sugianto, Wahyu Dwi"
"Purwanto, Bagus Priyo;Yani, Ahmad;Wijayanti, Vivi"
"Sajuthi, Dondin;Sulistiawati, Erni;Esfandiari, Anita;Widyaputri, Tiara"
"Noor, Erliza;Arkeman, Yandra;Permana, Tabligh"
"Suryobroto, Bambang;Widayati, Kanthi Arum;Bagasworo, Ario"
"Rukmiasih;Fahrudin, Mokhamad;Hardjosworo, ,Peni Suprapti;Kurniawan, Yusuf"
"Wulanawati, Armi;Setyawan, Nurdi;Dewi, Aniva Rizkia"
"o Budiarti, Retn;Lesmana, Donny Citra;Fryzky, Rian"
"Wiendi, Ni Made Armini;Putri, Devina Daratyama"
"Giyanto;Permana, Indra"
"Kurniawati, Fitrianingrum;Hutauruk, Maurice Yosua"
"Baliwati, Yayuk Farida;Wijayanto, Syahrul Maulidan"
"M A Chozin;Tarigan, Hiskia Forestovel Juniver"
"Sunarti, Euis;Fadhlurrahman, Zuhdi"
"Sihaloho, Martua;Yuliasih"
"Suwarto;Sirait, Joel Fernando"
"Suharsi, Tatiek Kartika;Surahman, Memen;Mewangi, Jawa Arum"
"Pramuhadi, Gatot;Rahmadi, Anang"
"Suparno, Ono;Dewi, Dita Oktoviani"
"Fauzan, Muhammad;Sudibyo, Tri;Syifaurrahman, Dzaky"
"Purwanto, M. Yanuar J.;Sudibyo, Tri;Kusworo, Bahri"
"Arif, Chusnul;Firdaus, Bahri Ilman"
"Seminar, Kudang Boro;Budiarno"
"Iskandar;Dewi, Ana Rosliana"
"Sailah, Illah;Kartika, Ika Amalia;Tiyastuti, Retno"
"Sailah, Illah;Kartika, Ika Amalia;Bernia, Oky Tresia Ordian"
"Tambunan, Armansyah H.;Simbolon, Lambok Parulian"
"Gatot, Pramuhadi;Slamet, Widodo;Riski, Sudarmaji"
"Marimin;Mahabatika, Sabila"
"Sugiarto;Gaol, Yantri Leonida Lumban"
"Yuliasih, Indah;Nopiyanti, Nita"
"Iskandar, Ade;Faradhea, Nadhira"
"Herodian, Sam;Saputra, Tito Dwi"
"Widayati, Kanthi Arum;Suryobroto, Bambang;Solihah, Meidina Nur"
"Murdiyarso, Daniel;Hendayani;Graha, Purnama"
"Herdiyeni, Yeni;Fadhilah, Mohd Irfan"
"Hidayat, Asep;Falah, Syamsul;Irfani, Muhamad"
"Mas'ud, Zainal Alim;Hidayat, Asep;Anhar, Nuril"
"Ardiansyah, Firman;Fadhilah, Okta"
"Wulanawati, Arni;Noviardi, Harry;Iqbal, Muhammad"
"Sumaryada, Tony Ibnu;Kartono, Agus;Dino, M. Afif Rizal"
"Sitanggang, Imas Sukaesih;Setiawan, Muhammad"
"Sumiati;Wiryawan, I Komang Gede;Manalu, Wasmen;Londok, Jola Josephien Mariane Roosje"
"Hasrini, Reno Fitri"
"Triwidodo, Hermanu;Pudjianto;Rauf, Aunu;Haneda, Noor Farikhah;Utami, Sri"
"Yonvitner;Setyobudiandi, Isdrajad;Khatami, Aulia Maghfirotul"
"Anas, Iswandi;Anwar, Syaiful;Yahya, Sudirman;Djajakirana, Gunawan;Sasmita, Rr. Kurnia Dewi"
"Darmawati, Emmy;Sutrisno;Idayanti, Desi"
"Mansur, Irdika;Yuwono, Arief Sabdo;Juniarto, Arief"
"Chikmawati, Tatik;Miftahudin;Tnunay, Ite Morina Yostianti"
"Ridla, Muhammad;Hermana, Widya;Nursiam, Intan"
"Hendrayanto;Puspaningsih, Nining;Simanjuntak, Hengki"
"Siregar, Iskandar Zulkarnain;Rahayu, Sri;Damayanti, Inggar"
"Mardiastuti, Ani;Mulyani, Yeni Aryati;Sastranegara, Hafiyyan"
"Sumertajaya, I Made;Afendi, Mochammad Farit;Setiawan, Iman"
"Pramuhadi, Gatot;Widodo, Slamet;Sudarmaji, Riski"
"Andarwulan, Nuri;Hunaefi, Dase;Ulvia, Besty Rizka"
"Yulianto, Muhamad;Hartulistiyoso, Edy;Hanafi, Adnan"
"Palupi, Nurheni Sri;Faridah, Didah Nur;Refli, Redoyan"
"Nurjanah;Asadatun, Abdullah;Diachanty, Seftylia"
"Sukenda, Sukenda;Nuryati, Sri;Pasaribu, Wesly"
"Hariyadi, Sigid;Fahrudin, Achmad;Supardi, Suparman"
"Suwardi;Tjahyandari, Dyiah;Telaumbanua, Setia Murni"
"Suyatma, Nugraha Edhi;Yuliana, Nancy Dewi;Utama, Rozi Satria"
"Batubara, Irmanida;Nurilmala, Mala;Fauzi, Shita"
"Kurnia, Anang;Indahwati;Aprizkiyandari, Siti"
"Tinaprilla, Netti;Fitroni, Fadillah"
"Nasdian, Fredian Tonny;Destindira, Satwika"
"Pandjaitan, Nurmala Katrina;Ilma, Maharani Faradinna"
"Trisyulianti, Erlin;Ramadhan, Fahmi Ilham"
"Sarwoprasodjo, Sarwititi;Maulina, Nadia Eka"
"Kusumastuti, Yatri Indah;Arliyanti, Siti Nurcahyani"
"Siwi, Mahmudi;Noviannisa, Ayu"
"Sjaf, Sofyan;Kusumawarta, Eka Prayoga"
"Hardinsyah;Tanziha, Ikeu;Umami, Zakia"
"Sulistyantara, Bambang;Fatimah, Indung Sitti;Rismunandar"
"Barus, Baba;Munibah, Khursatul;Dewi, Puji Rosita"
"Nurhayati, Tati;Suptijah, Pipih;Sidauruk, Santhy Wisuda"
"Nurmalina, Rita;Burhanuddin;Putri, Rizka Karlina"
"Silalahi, Bib Paruhum;Bukhari, Fahren;Making, Samuel Rex Mulyadi"
"Ahmad, Usman;Suyatma, Nugraha Edhi;Srikanti"
"Soejoedono, Retno Damayanti;Mayasari, Ni Luh Putu IKa;Suryanaga, Umar"
"Munandar, Jono Mintarto;Syamsun, Muhammad;Nurhasanah, Saniatun"
"Munandar, Jono;Dirdjosuparto, Sukiswo;Suherman"
"Alatas, Husin;Qohhar, Muhammad Abdul"
"Alamudi, Aam;Suhaeni, Cici;Ridho, Ibnu Mubtadi"
"Sari, Yessie Widya;Kurniati, Mersi;Budiman, Ismail;Silvana, Minati Mella"
"Agmalaro, Muhammad Ashyar;Agustina, Maulita"
"Wahyudi, Setyanto Tri;Sari, Yessie Widya;Hernawan, Fathianissa Agnifa"
"Agmalaro, Muhammad Asyhar;Annisa, Siti Syarah"
"Wahyudi, Setyanto Tri;Sari, Yessie Widya;Asmara, Dina Puspasari Sri"
"Hermadi, Irman;Asmoro, Gani"
"Sitanggang, Imas Sukaesih;Tyas, Dyah Nurlita Sesotyaning"
"Alikodra, Hadi Sukadi;M Bismark;Kartono, Agus Priyono;Iskandar, Sofian"
"Suharsono;Tjahjoleksono, Aris;Mariska, Ika;Damayanti, Fitri"
"Kolopaking, Lala M;Siregar, Hermanto;Putri, Intan Kumala;Hakim, Agus Lukman"
"DS Priyarsono;Siregar, Hermanto;Kustanto, Heru;Winardi"
"Nugrahani, Endar H;Lesmana, Donny C;Agung, Andi"
"Agung, Andi"
"Rindayati, Wiwiek;Gupita, R.A. Dea Ayu"
"Kusharto, Clara;Setiawan, Budi;Fauziah"
"Satria, Arif;Sunito, Satyawan;Christian, F. Yoppie"
"Kawaroe, Mujizat;Bengen, Dietriech Geoffrey;Asih, Eka Nurrahema Ning"
"Juanda, Bambang;Asmara, Alla;Baeti, Falikhakh Nur"
"Nasrullah, Nizar;Sulistyantara, Bambang;Dwirahmawati, Farida"
"Budi, Sri Wilarso;Pamoengkas, Prijanto;Jayani, Faradila Mei"
"Jakaria;Baihaqi, Muhamad;Musyaddad, Taufiq"
"Fuah, Asnath Maria;Salundik;Devayana, Ngakan Made Rama"
"Evvyernie, Dwierra;Tjakradidjaja, Anita S.;Insani, Audina"
"Kustiyah, Lilik;Riyadi, Hadi;Nurulfuadi"
"Soleh, Agus Mohamad;Djuraidah, Anik;Sholihin, Miftahus"
"Hardjomidjojo, Hartrisari;Anggraeni, Elisa;Trimadya, Nindya Malvins"
"Affandi, Ridwan;Wiryawan, I Komang Gede;Kaunar, Nuryani"
"Tambunan, Armansyah H;Pinilih, Roswangi Endah"
"Nuraida, Lilis;Nurjanah, Siti;Nurchandra, Kenzi Priatna"
"Hartulistiyoso, Edy;Yulianto, Muhamad;Hangabi, Rizal"
"Suparno, Ono;Putra, Tio Nandika Eka"
"Ratnadewi, Diah;Wulandari, Dyah Retno;Ningrum, Ratih Kusuma"
"Perwitasari, RR Dyah;Mulyani, Yeni Aryati;Sahari, Bandung;Utari, Anindya Rizky"
"Perwitasari, RR Dyah;Mulyani, Yeni Aryati;Sahari, Bandung;Nurfaidah, Diane"
"Sulistiyani;Wahyuni, Wulan Tri;Puspita, Fitriana Rahma"
"Sulistyaningsih, Yohana C;Dorly;Wijaya, Febrian Eka"
"Kartika, Lindawati;Apriyanti, Annisa Fauziah"
"Cahyadi, Eko Ruddy;Aisah, Allyssa Athifa"
"Khatizah, Elis;Hanum, Farida;Giyai, Akulin"
"Solihin, Dedy Duryadi;Suryani, Ani;Subyakto;Endrawati, Yuni Cahya"
"Kusmana, Cecep;Suhendang, Endang;Widiatmaka;Herwirawan, Fransiscus Xaferius"
"Kusmana, Cecep;Gunawan, Andi;Ridwan, Affandi;Ismane, M. Apuk"
"Aziz, Sandra Arifin;Kurniawati, Ani;Faridah, Didah Nur;Herlina"
"Chikmawati, Tatik;Rifai, Mien Ahmad;Parthomihardjo, Tukirin;Ariyanti, Nunik Sri;Mahyuni, Ridha"
"Pawitan, Hidayat;Purwanto, M. Yanuar J.;Hidayat, Yayat;Satriyo, Purwana"
"Tambunan, Armansyah Halomoan;Prastowo;Bintang, Simangunsong C.H.;Sinaga, Rusman"
"Purwanto, Yanuar J;Kholil;Murtilaksono, Kukuh;Gusdini, Ninin"
"Hambali, Erliza;Gultom, Ketura Anggina Akanito"
"Nugroho, Lilik Pujantoro Eko;Nissa, Khaerun"
"Ratnadewi, Diah;Sumaryono;Sari, Putty Sabrina"
"Artika, I Made;Rusmana, Imam;Amanda, Nisa Widya"
"Hidayati, Rini;Musfiroh, Suraiya Rahmah"
"Sari, Yessie Widya;Kurniati, Mersi;Putri, Sumaya Yulia"
"Khotimah, Husnul;Gunarto, Mutia Ulfah"
"Sugita, Purwantiningsih;. Rahayu, Utami C;Adilah, Silmi Nurul"
"Saprudin, Deden;Khotib, Muhammad;Malik, Sofia"
"Andrianto, Dimas;Al Rasyid, LA Harun;Pratama, Muhammad Rastra Teguh"
"Martianto, Drajat;Sukandar, Dadang;Gantina, Anggit"
"Kusuma, Wisnu Ananta;Muljono, Pudji;Kangko, Danang Dwijo"
"Ismayana, Andes;Yani, Moh.;Brata, Antarif Kusuma"
"Suharsono;Mustopa, Apon Zaenal;Solikhin, Akhmad"
"Bengen, Dietriech Geoffrey;Baskoro, Mulyono Sumitro;Baskoro, Mulyono Sumitro;Burhanis"
"Juanda, Bambang;Munibah, Khursatul;Irawadi, Ade"
"Zamani, Neviaty Putri;Effend, Hefni;Tampubolon, Anggita Vella S."
"Kurnia, Anang;Sadik, Kusman;Arisona, Dian Christien"
"Nurhayati, Tati;Nurilmala, Mala;Pahana, Syatha Andrha"
"Djuraidah, Anik;Sumertajaya, I Made;Siagian, Henny Agustina"
"Marimin;Machfud;Asrol, Muhammad"
"Saeni, M. Sri;Hasbi, Muhammad;Nuryadin, Hasbi"
"Maheshwari, Hera;Santoso, Koekoeh;Nitbani, Heny"
"Jaya, I Nengah Surati;Asriningrum, Wikanti;Fadiakhumairah, Meranti"
"Suryobroto, Bambang;Juliandi, Berry;Alyaminy, Ishmah Humaidatul Aminah Zaim"
"Retnani, Yuli;Suharti, Sri;Herni"
"Masy'ud, Burhanuddin;Rahman, Aulia;Rifki, Muhammad"
"Saharjo, Bambang Hero;Mulyadi, Rezza Sapril"
"Damayanthi, Evy;Rimbawan;Anjani, Putri Puncak"
"Sabiham, Supiandi;Indriyati, Lilik Tri;Sahari, Bandung;Dewi, Rika Andriati Sukma"
"Nugrahani, Endar Hasafah;Lesmana, Donny Citra;Valentika, Nina"
"Ghulamahdi, Munif;Lubis, Iskandar;Akhmad, Risfandi"
"Mubarik, Nisa Rachmania;Wahyuntari, Budiasih;Ilmiah, Sitti Nur"
"Poerwanto, Roedhy;Wiyono, Suryo;Suketi, Ketty;Jumawati, Riana"
"Hutagaol, Manuntun Parulian;Rindayati, Wiwiek;Jayanthi, Ria"
"Budiarti, Sri;Desriani;Rismaya"
"Burhanuddin;Saragih, Feberti Dasmei"
"Suryawati, Rindah Febriana;Prabowo, Diaz Agung"
"Fewidarto, Pramono D.;Rosdiana, Bayu Trya"
"Widayati, Kanthi Arum;Tsuji, Yamato;Asri, Suci Widia Zul"
"Sihaloho, Martua;Kurnia, Agung"
"Purwono, Joko;Putra, Donny Aswinta Oki"
"Ayyubi, Salahuddin El;Widyastutik;Rosetika, Arien"
"Kolopaking, Lala M;Istiyani, Anggitia"
"Sarwoprasodjo, Sarwititi;Putri, Aina Adinda"
"Juniantito, Vetnizah;Prasetyo, Bayu Febram;Bakti, Akhmat Setya"
"Sudadi, Untung;Anwar, Syaiful;Hidayat, Syahwil"
"Winasa, I Wayan;Hidayah, Taufik Nur"
"Priosoeryanto, Bambang Pontjo;Harlina, Eva;Dwiantari, Kadek Meidyani"
"Yudi;Sukmawati, Eros;Rezekitiani, Naula"
"Sunartatie, Titiek;Rotinsulu, Dordia Anindita;Djari, Daud Julius"
"Hartono, Arief;Anwar, Syaiful;Murtilaksono, Kukuh;Putra, Gilang Sukma"
"Munandar, Jono Mintarto;Tiara, Mira"
"Harianto;Elfian, Muhammad Siddik"
"Burhanuddin;Yusuf, Muh Mubdi"
"Munandar, Jono Mintarto;Rahayu, Yosi Lisdiani"
"Najib, Mukhammad;Anisa, Nur"
"Rindayati, Wiwiek;Pertiwi, Maharani"
"Rachmina, Dwi;Saputri, Lilis Eka"
"Dewi, Farida Ratna;Hambali, Muhammad Yusuf"
"Yusalina;Rohman, M. Habibur"
