author,jml_penelitian
"Hapsari,DanesGaluhPramudhitaLingga",1
"Priyanto,Rudy",68
"Aditia,EditLesa",52
"Pangestu,MuhammadBintang",1
"Tursiloadi,Silvester",1
"Suryani,Ani",16
"Tsany,FarahAthiyyah",1
"Purwanto,MuhammadYannuarJarwadi",1
Widiatmaka,61
"Prasetyo,LilikB",2
"Budianto,BambangSetio",1
"Khomsan,Ali",70
"Sukandar,Dadang",29
"Riyadi,Hadi",55
"Yulia,Cica",1
Nahrowi,68
"Ridla,Muhammad",46
"Yaman,Aman",1
"Setiyono,Agus",36
Allaily,1
Sumardjo,32
"Sarwititi,Sarwoprasodjo",1
"Tambuan,ArmansyahHalomoan",1
"Luqman,Yanuar",1
Sucahyo,1
"Nugroho,Naresworo",37
"Karlinasari,Lina",53
"Herawati,Evalina",1
"Rianawati,Sri",1
Musalamah,1
"Ariyanti,NunikSri",31
"Rifai,MienAhmad",5
"Lestari,RiaWindi",1
"Randhi,Zulfathri",1
"Sulistyaningsih,YohanaC",11
"Djuita,NinaRatna",36
"Apriliasih,WinnyWulan",1
"Mulyati,Heti",59
"Wijaya,NurHadi",11
"Ramadhani,BayuGalang",1
"Pasaribu,SyamsulHidayat",38
"Martis,Nur'ainaIbrahim",1
"Mulijani,Sri",35
"Wulanawati,Armi",33
"Tambunan,VeronicaMay",1
"Batubara,Irmanida",84
"Rohaeti,Eti",54
Sumaiyah,1
"Purwaningsih,Henny",35
"Sjahriza,Ahmad",27
"Pauliana,Syariefianti",1
"Iskandar,HermanuWidjaja",1
"Prasetya,Agung",1
"Hazra,Fahrizal",36
"Santosa,DwiAndreas",43
"Helmi,RobbiAulia",1
"Ilyas,Satriyas",40
"Manohara,Dyah",2
"Hikmawati,AinunNurMaulidina",1
"Dalimunthe,Rivai",1
"Wachjar,Ade",30
"Direja,WahyuAngga",1
"Utami,FitriyahNurulH",2
"Situmorang,JuanPonce",1
"Santoso,Sugeng",26
"Lubis,WindarHidayati",1
"Suharsi,TatiekKartika",8
"Syukur,Muhamad",87
"Zebua,MercyJulinda",1
"Makelew,AfraDN",1
"Habi,MuchammadSyaif",1
Supramana,37
"Mutaqin,KikinHamzah",38
"Diana,DidietRahayu",1
"Purwangka,Fis",42
"Iskandar,BH",1
"Jannah,NurulFaizatil",1
"Siregar,Hermanto",63
"Putri,EkaIntanKumala",64
"Djajuli,Idja",1
"Juliandi,Berry",56
"Boediono,Arief",56
"Sitanggang,FajarIslam",1
"Hastuti,YuniPuji",52
"Pratiknyo,Titis",1
"Kawaroe,Mujizat",14
"Wardiatno,Yusli",64
"Saga,MuhMuftyIzmuAbdillah",1
"Nurjaya,IWayan",63
"Nurherdianto,Wahyu",1
"Puspitawati,Herien",54
"Yuliati,NoorLilik",1
"Laili,MahsianiMina",1
"Saefuddin,Asep",34
Indahwati,66
Mardiah,2
"Evvyernie,Dwiera",1
"Harlina,Eva",27
"Pujioktari,Preti",1
"Abdullah,Luki",72
"Yaman,MAman",1
"Kumalasari,NurRochmah",46
"Rosadi,Kathleya",1
"Wahyuni,EkawatiSri",36
"Agusta,Ivanovich",19
"Dewi,MarlinaAfrian",1
Yonvitner,41
"Imran,Zulhamsyah",38
"Bibin,Muhammad",2
"Zairin,MuhammadJunior",2
Widanarni,82
"Siregar,KhoirotunNisa",1
"Haerullah,Medi",1
"Pramudya,Bambang",20
"Sumarno,JoshuaRonald",1
"Hanif,Novriyandi",18
"Setiawan,Andi",4
"Yanti,Heri",1
Arif,1
"Wahyuni,WulanTri",68
"Maryam,NovaLitaSri",1
Hoerudin,2
"Fabriany,SintyaDico",1
"Sukoco,Heru",27
"Muhammad,FahmiDzilikram",2
"Madya,MMiftahul",1
"Perwitasari,RadenRoroDyah",9
"Mulyani,YeniAryati",53
"Sahari,Bandung",12
"Nurfaidah,Diane",2
"Hasan,AkmadEndangZainal",1
"Julistiono,Heddy",4
"Akbar,Geodani",1
"Andrianto,Dimas",131
"Rasyid,LAHarunAl",1
"Pratama,MuhammadRastraTeguh",2
"Heryanto,Rudi",33
"Prianti,Heapy",1
"Wahjunie,EnnieDwi",1
"Baskoro,DwiPutroTejo",47
"Kaiwa,Ogan",1
"Khrisrachmansyah,Rezky",9
"Nasrullah,Nizar",51
"Imany,WulidatulBinuril",1
"Poerwanto,Roedhy",35
"Efendi,Darda",41
"Lieka,MettaGitania",1
"Winasa,IWayan",30
"Najah,SitiKamila",1
Muhamad,1
"Silaban,YohanesWijayanto",2
"Maulana,MohamadAkhbar",1
"Zaman,Sofyan",31
"Wijaya,Rivandi",1
Uju,63
"Sandria,Nofri",1
"Lubis,DjuaraP",47
"Sarma,Ma'mun",75
"Reza,Muhammad",3
"Adrianto,Luky",60
"Kamal,MohammadMukhlis",64
"Setiyaningsih,Nanik",2
"Prastiyo,YuliusBudi",1
"Koropitan,AlanFrendy",8
"Idris,MuhamadKemal",1
"Sutriah,Komar",33
"Sari,YessieWidya",52
"Sylvani,MirantiMaya",1
"Wahju,RonnyIrawan",39
"Rihmi,MihrobiKhalwatu",1
"Sitanggang,ImasSukaesih",116
Rachmawati,1
"Budiastra,IWayan",38
"Hawino,Christiandy",1
"Astuti,RikaIndri",59
"Listiyowati,Sri",23
"Asshoolihah,Baaqiyatu",1
"Hasan,AkhmadEndangZainal",55
"Dewi,AnggunNia",1
"Sugita,Purwantingsih",1
"Khotib,Muhammad",12
"Fakhrullah,Fadli",1
"Pramuhadi,Gatot",33
"Suryani,Yeni",1
"Putri,DeaAyuAndini",1
"Khotimah,Husnul",19
"Jannah,AulyaRhoudlhathul",1
"Hanum,Farida",57
"Supriyo,PraptoTri",34
"Martiana,TiaAyu",1
"Dewi,AjengYulia",1
"Ekayani,Meti",64
"Tampobolon,BahroinIdris",1
"Kartikasari,Deasy",1
"Primassanti,Dissa",1
"Sukmawati,Anggraini",76
"Dewi,FitriKurnia",1
"Novianti,Tanti",66
"Ali,KhalifahMuhamad",11
Qoriatusadiah,2
"Nurmalina,Rita",89
"Bhinaryanti,Ina",1
"Tinaprilla,Netti",76
"Wahyu,Hafizd",1
Suharno,64
"Fauziyyah,Muhjah",1
"Nadia,Nufita",1
"Murtini,Sri",67
"Esfandiari,Anita",45
"Ramdhani,ErvanRaka",1
"Wahju,RoniIrawan",1
Diniah,9
"Hakim,Fahrurrozi",1
"Santoso,Koekoeh",59
"Latif,Hadri",36
"Wida,PutriGusfani",1
"Wahjuningrum,Dinamella",60
"Ismet,MeutiaSamira",36
"Suryani,Nina",1
"Wresdiyati,Tutik",33
"Noviana,Deni",71
"Putra,PrimaPrasetya",1
"Samosir,MAgustinus",1
"Setiawan,HerlambangDiah",1
"Sunartatie,Titiek",16
"Rochman,RMRizalDwinto",1
"Oktariza,Wawan",14
"Astarini,JuliaEka",24
"Faisal,Mhd",1
"Pratiwi,NikenTunjungMurti",33
"Puspaningrum,VenaRamdhania",1
"Suryaningtyas,DyahTjahyandari",37
Darmawan,50
"Rosalina,Febrianti",1
"Tiryana,Tatang",24
"Malau,IreneFransiska",1
"Arifjaya,NanaMulyana",7
"Wardhani,AnnisaChoerinitaKusuma",1
"Saadah,Khatimatus",1
"Sumantri,Cece",114
"Darwati,Sri",63
"Cholifah,UmiNur",1
Siswoyo,33
"Sari,RitaKartika",53
"Karim,FiraRizka",2
"Najib,Mukhamad",75
"Syamsun,Muhammad",8
"Putra,GershandaGhiffariDwi",1
"Trison,Soni",19
"Damayanti,Dewi",1
"Syafii,Wasrin",34
"Yusra,Izzatul",1
"Sartono,Bagus",88
"Silaban,IreneImeldaJuliaty",1
"Farajallah,Achmad",48
"Miura,Takeshi",2
"Mulyana,JeaneSiswitasari",2
Rukmiasih,38
"Fakhrudin,Mokh",1
"Hardjosworo,PeniSoeprapti",2
"Lase,JonathanAnugrah",1
"Muhandri,Tjahja",55
"Utomo,AndikaWahyu",1
"Budijanto,Slamet",68
"Sitanggang,AzisBoing",55
"Khairunnisa,Karimah",1
"Adawiyah,Robiatul",1
"Simaratika,VincentiaSepti",1
"Prayoga,Aditya",2
Desrial,19
"Farhah,CutSharfina",1
Sugiarto,45
"Supriatna,Ade",1
"Fardiaz,Dedi",17
"Hastarini,Ema",2
"Khamidah,SitiZakiyatul",1
"Sugianto,WahyuDwi",1
"Purwanto,BagusPriyo",31
"Yani,Ahmad",53
"Wijayanti,Vivi",1
"Sajuthi,Dondin",25
"Sulistiawati,Erni",5
"Widyaputri,Tiara",1
"Noor,Erliza",46
"Arkeman,Yandra",58
"Permana,Tabligh",1
"Suryobroto,Bambang",43
"Widayati,KanthiArum",57
"Bagasworo,Ario",2
"Fahrudin,Mokhamad",23
"Hardjosworo,,PeniSuprapti",1
"Kurniawan,Yusuf",1
"Setyawan,Nurdi",2
"Dewi,AnivaRizkia",2
"oBudiarti,Retn",1
"Lesmana,DonnyCitra",52
"Fryzky,Rian",1
"Putri,DevinaDaratyama",1
Giyanto,51
"Permana,Indra",3
"Kurniawati,Fitrianingrum",25
"Hutauruk,MauriceYosua",1
"Baliwati,YayukFarida",35
"Wijayanto,SyahrulMaulidan",1
MAChozin,7
"Tarigan,HiskiaForestovelJuniver",1
"Sunarti,Euis",46
"Fadhlurrahman,Zuhdi",1
"Sihaloho,Martua",24
Yuliasih,1
Suwarto,41
"Sirait,JoelFernando",1
"Surahman,Memen",20
"Mewangi,JawaArum",1
"Rahmadi,Anang",1
"Suparno,Ono",27
"Dewi,DitaOktoviani",1
"Fauzan,Muhammad",26
"Sudibyo,Tri",11
"Syifaurrahman,Dzaky",1
"Purwanto,MYanuarJ",10
"Kusworo,Bahri",1
"Arif,Chusnul",35
"Firdaus,BahriIlman",1
"Seminar,KudangBoro",49
Budiarno,1
Iskandar,17
"Dewi,AnaRosliana",1
"Sailah,Illah",29
"Kartika,IkaAmalia",26
"Tiyastuti,Retno",1
"Bernia,OkyTresiaOrdian",1
"Tambunan,ArmansyahH",9
"Simbolon,LambokParulian",1
"Gatot,Pramuhadi",1
"Slamet,Widodo",3
"Riski,Sudarmaji",2
Marimin,38
"Mahabatika,Sabila",1
"Gaol,YantriLeonidaLumban",1
"Nopiyanti,Nita",1
"Iskandar,Ade",13
"Faradhea,Nadhira",1
"Herodian,Sam",24
"Saputra,TitoDwi",1
"Solihah,MeidinaNur",1
"Murdiyarso,Daniel",20
Hendayani,1
"Graha,Purnama",1
"Herdiyeni,Yeni",36
"Fadhilah,MohdIrfan",1
"Hidayat,Asep",12
"Falah,Syamsul",55
"Irfani,Muhamad",2
"Mas'ud,ZainalAlim",24
"Anhar,Nuril",1
"Ardiansyah,Firman",61
"Fadhilah,Okta",1
"Wulanawati,Arni",1
"Noviardi,Harry",4
"Sumaryada,TonyIbnu",34
"Kartono,Agus",58
"Dino,MAfifRizal",1
"Setiawan,Muhammad",2
Sumiati,67
"Wiryawan,IKomangGede",41
"Manalu,Wasmen",52
"Londok,JolaJosephienMarianeRoosje",1
"Hasrini,RenoFitri",1
"Triwidodo,Hermanu",32
Pudjianto,25
"Rauf,Aunu",23
"Utami,Sri",7
"Khatami,AuliaMaghfirotul",1
"Anas,Iswandi",17
"Anwar,Syaiful",85
"Yahya,Sudirman",25
"Djajakirana,Gunawan",32
"Sasmita,RrKurniaDewi",2
"Darmawati,Emmy",44
Sutrisno,56
"Idayanti,Desi",1
"Mansur,Irdika",53
"Yuwono,AriefSabdo",57
"Juniarto,Arief",1
"Chikmawati,Tatik",62
Miftahudin,32
"Tnunay,IteMorinaYostianti",1
"Hermana,Widya",73
"Nursiam,Intan",1
Hendrayanto,23
"Simanjuntak,Hengki",1
"Siregar,IskandarZulkarnain",4
"Rahayu,Sri",54
"Damayanti,Inggar",1
"Mardiastuti,Ani",69
"Sastranegara,Hafiyyan",2
"Sumertajaya,IMade",78
"Afendi,MochammadFarit",2
"Setiawan,Iman",1
"Widodo,Slamet",40
"Sudarmaji,Riski",1
"Andarwulan,Nuri",59
"Hunaefi,Dase",60
"Ulvia,BestyRizka",1
"Yulianto,Muhamad",10
"Hartulistiyoso,Edy",29
"Hanafi,Adnan",1
"Palupi,NurheniSri",44
"Faridah,DidahNur",82
"Refli,Redoyan",1
Nurjanah,73
"Asadatun,Abdullah",2
"Diachanty,Seftylia",1
"Sukenda,Sukenda",22
"Pasaribu,Wesly",1
"Hariyadi,Sigid",76
"Fahrudin,Achmad",36
"Supardi,Suparman",1
"Tjahyandari,Dyiah",1
"Telaumbanua,SetiaMurni",1
"Suyatma,NugrahaEdhi",48
"Yuliana,NancyDewi",54
"Utama,RoziSatria",1
"Fauzi,Shita",1
"Kurnia,Anang",67
"Aprizkiyandari,Siti",1
"Fitroni,Fadillah",1
"Nasdian,FredianTonny",20
"Destindira,Satwika",1
"Pandjaitan,NurmalaKatrina",16
"Ilma,MaharaniFaradinna",1
"Trisyulianti,Erlin",20
"Ramadhan,FahmiIlham",1
"Sarwoprasodjo,Sarwititi",63
"Maulina,NadiaEka",2
"Kusumastuti,YatriIndah",5
"Arliyanti,SitiNurcahyani",1
"Siwi,Mahmudi",12
"Noviannisa,Ayu",1
"Sjaf,Sofyan",43
"Kusumawarta,EkaPrayoga",1
Hardinsyah,37
"Tanziha,Ikeu",39
"Umami,Zakia",1
"Sulistyantara,Bambang",51
Rismunandar,1
"Barus,Baba",59
"Munibah,Khursatul",56
"Dewi,PujiRosita",1
"Sidauruk,SanthyWisuda",1
Burhanuddin,62
"Putri,RizkaKarlina",1
"Silalahi,BibParuhum",49
"Bukhari,Fahren",32
"Making,SamuelRexMulyadi",1
"Ahmad,Usman",43
Srikanti,1
"Soejoedono,RetnoDamayanti",6
"Mayasari,NiLuhPutuIKa",1
"Suryanaga,Umar",1
"Munandar,JonoMintarto",30
"Nurhasanah,Saniatun",1
"Munandar,Jono",5
"Dirdjosuparto,Sukiswo",3
Suherman,1
"Alatas,Husin",56
"Qohhar,MuhammadAbdul",1
"Alamudi,Aam",45
"Suhaeni,Cici",26
"Ridho,IbnuMubtadi",1
"Kurniati,Mersi",46
"Budiman,Ismail",12
"Silvana,MinatiMella",1
"Agmalaro,MuhammadAshyar",1
"Agustina,Maulita",1
"Wahyudi,SetyantoTri",48
"Hernawan,FathianissaAgnifa",2
"Agmalaro,MuhammadAsyhar",31
"Annisa,SitiSyarah",1
"Asmara,DinaPuspasariSri",1
"Hermadi,Irman",100
"Asmoro,Gani",1
"Tyas,DyahNurlitaSesotyaning",1
"Alikodra,HadiSukadi",11
MBismark,3
"Kartono,AgusPriyono",22
"Iskandar,Sofian",1
Suharsono,43
"Tjahjoleksono,Aris",39
"Mariska,Ika",1
"Damayanti,Fitri",2
"Kolopaking,LalaM",42
"Putri,IntanKumala",1
"Hakim,AgusLukman",1
DSPriyarsono,7
"Kustanto,Heru",1
Winardi,1
"Nugrahani,EndarH",5
"Lesmana,DonnyC",2
"Agung,Andi",2
"Rindayati,Wiwiek",49
"Gupita,RADeaAyu",1
"Kusharto,Clara",1
"Setiawan,Budi",56
Fauziah,1
"Satria,Arif",38
"Sunito,Satyawan",9
"Christian,FYoppie",1
"Bengen,DietriechGeoffrey",58
"Asih,EkaNurrahemaNing",1
"Juanda,Bambang",73
"Asmara,Alla",45
"Baeti,FalikhakhNur",1
"Dwirahmawati,Farida",1
"Budi,SriWilarso",32
"Pamoengkas,Prijanto",33
"Jayani,FaradilaMei",1
"Baihaqi,Muhamad",35
"Musyaddad,Taufiq",1
"Fuah,AsnathMaria",50
Salundik,53
"Devayana,NgakanMadeRama",1
"Evvyernie,Dwierra",26
"Tjakradidjaja,AnitaS",5
"Insani,Audina",1
"Kustiyah,Lilik",49
Nurulfuadi,1
"Soleh,AgusMohamad",47
"Djuraidah,Anik",66
"Sholihin,Miftahus",1
"Hardjomidjojo,Hartrisari",42
"Anggraeni,Elisa",75
"Trimadya,NindyaMalvins",1
"Affandi,Ridwan",49
"Kaunar,Nuryani",1
"Pinilih,RoswangiEndah",1
"Nuraida,Lilis",42
"Nurjanah,Siti",59
"Nurchandra,KenziPriatna",1
"Hangabi,Rizal",1
"Putra,TioNandikaEka",1
"Ratnadewi,Diah",24
"Wulandari,DyahRetno",3
"Ningrum,RatihKusuma",1
"Perwitasari,RRDyah",15
"Utari,AnindyaRizky",2
Sulistiyani,32
"Puspita,FitrianaRahma",2
Dorly,28
"Wijaya,FebrianEka",2
"Kartika,Lindawati",46
"Apriyanti,AnnisaFauziah",1
"Cahyadi,EkoRuddy",79
"Aisah,AllyssaAthifa",1
"Khatizah,Elis",26
"Giyai,Akulin",2
"Solihin,DedyDuryadi",21
Subyakto,10
"Suhendang,Endang",9
"Herwirawan,FransiscusXaferius",1
"Gunawan,Andi",44
"Ridwan,Affandi",4
"Ismane,MApuk",1
"Aziz,SandraArifin",35
"Kurniawati,Ani",48
Herlina,2
"Parthomihardjo,Tukirin",1
"Mahyuni,Ridha",1
"Pawitan,Hidayat",14
"Hidayat,Yayat",30
"Satriyo,Purwana",1
"Tambunan,ArmansyahHalomoan",18
Prastowo,35
"Bintang,SimangunsongCH",1
"Sinaga,Rusman",1
"Purwanto,YanuarJ",1
Kholil,3
"Murtilaksono,Kukuh",29
"Gusdini,Ninin",1
"Hambali,Erliza",63
"Gultom,KeturaAngginaAkanito",1
"Nugroho,LilikPujantoroEko",26
"Nissa,Khaerun",3
Sumaryono,2
"Sari,PuttySabrina",1
"Artika,IMade",53
"Rusmana,Imam",1
"Amanda,NisaWidya",2
"Hidayati,Rini",47
"Musfiroh,SuraiyaRahmah",1
"Putri,SumayaYulia",1
"Gunarto,MutiaUlfah",1
"Sugita,Purwantiningsih",36
"Rahayu,UtamiC",1
"Adilah,SilmiNurul",1
"Saprudin,Deden",33
"Malik,Sofia",1
"AlRasyid,LAHarun",3
"Martianto,Drajat",44
"Gantina,Anggit",2
"Kusuma,WisnuAnanta",107
"Kangko,DanangDwijo",1
"Ismayana,Andes",51
"Yani,Moh",13
"Brata,AntarifKusuma",1
"Solikhin,Akhmad",1
"Baskoro,MulyonoSumitro",4
Burhanis,1
"Irawadi,Ade",1
"Effend,Hefni",1
"Tampubolon,AnggitaVellaS",1
"Sadik,Kusman",66
"Arisona,DianChristien",1
"Pahana,SyathaAndrha",1
"Siagian,HennyAgustina",1
Machfud,40
"Asrol,Muhammad",2
"Saeni,MSri",1
"Hasbi,Muhammad",1
"Nuryadin,Hasbi",1
"Maheshwari,Hera",29
"Nitbani,Heny",1
"Asriningrum,Wikanti",1
"Fadiakhumairah,Meranti",1
"Alyaminy,IshmahHumaidatulAminahZaim",1
"Retnani,Yuli",71
"Suharti,Sri",42
Herni,1
"Rahman,Aulia",3
"Rifki,Muhammad",1
"Saharjo,BambangHero",37
"Mulyadi,RezzaSapril",1
"Damayanthi,Evy",48
Rimbawan,32
"Anjani,PutriPuncak",1
"Sabiham,Supiandi",14
"Indriyati,LilikTri",31
"Dewi,RikaAndriatiSukma",1
"Nugrahani,EndarHasafah",35
"Valentika,Nina",1
"Ghulamahdi,Munif",48
"Lubis,Iskandar",61
"Akhmad,Risfandi",1
"Mubarik,NisaRachmania",61
"Wahyuntari,Budiasih",1
"Ilmiah,SittiNur",1
"Wiyono,Suryo",55
"Suketi,Ketty",40
"Jumawati,Riana",1
"Hutagaol,ManuntunParulian",23
"Jayanthi,Ria",1
"Budiarti,Sri",42
Desriani,7
Rismaya,1
"Saragih,FebertiDasmei",1
"Suryawati,RindahFebriana",26
"Prabowo,DiazAgung",1
"Fewidarto,PramonoD",17
"Rosdiana,BayuTrya",1
"Tsuji,Yamato",8
"Asri,SuciWidiaZul",1
"Kurnia,Agung",1
"Purwono,Joko",48
"Putra,DonnyAswintaOki",1
"Ayyubi,SalahuddinEl",11
Widyastutik,51
"Rosetika,Arien",1
"Istiyani,Anggitia",1
"Putri,AinaAdinda",1
"Juniantito,Vetnizah",27
"Prasetyo,BayuFebram",24
"Bakti,AkhmatSetya",1
"Sudadi,Untung",42
"Hidayat,Syahwil",1
"Hidayah,TaufikNur",2
"Priosoeryanto,BambangPontjo",38
"Dwiantari,KadekMeidyani",1
Yudi,9
"Sukmawati,Eros",1
"Rezekitiani,Naula",1
"Rotinsulu,DordiaAnindita",5
"Djari,DaudJulius",1
"Hartono,Arief",38
"Putra,GilangSukma",1
"Tiara,Mira",1
Harianto,76
"Elfian,MuhammadSiddik",2
"Yusuf,MuhMubdi",1
"Rahayu,YosiLisdiani",1
"Najib,Mukhammad",3
"Anisa,Nur",1
"Pertiwi,Maharani",1
"Saputri,LilisEka",1
"Dewi,FaridaRatna",44
"Hambali,MuhammadYusuf",1
Yusalina,26
"Rohman,MHabibur",1
"Rahmawati,Siti",37
"Putri,NashaAzarine",1
"Ismail,Ahyar",47
"Nurfitrianti,Ratna",1
"Puruhita,RismasainPrito",1
"Lestari,RistaNovita",1
Suprehatin,42
"Siskanti,Rosmelia",1
"Putranto,RichoSetio",1
"Lubis,SyamsirArifin",1
"Fariyanti,Anna",85
"Baraja,RidhwanRidho",1
"Ermawati,WitaJuwita",69
"Puspita,RizkaDiana",1
"Marsarifqi,Rakhmania",1
"Istiqomah,Asti",31
"Sinaga,MariaElseAvrelia",1
"Salam,YuandanisWahyu",1
Triadiati,16
Putra,1
"Utami,YoanaMeiditaSri",1
"Purwanto,Budi",70
"Hutabarat,Febrina",1
"Christy,Rachel",1
Novitasari,1
"Hidayani,Nurul",1
"Hakim,DediBudiman",94
"Qaffany,Naufal",1
"Maulida,Lani",1
"Atmadinata,YustitiaNurlita",1
Osmaleli,27
