Issue Date;Title;Author(s)
21/12/21;Penentuan Cadangan Manfaat pada Asuransi Jiwa Dwiguna Joint Life Menggunakan Metode Zillmer;"Purnaba, I Gusti Putu; Erliana, Windiani; Azzahra, Olivfia Putri"
21/12/21;Rekomendasi Pemanfaatan Ruang Kabupaten Karawang Berbasis Urban Sprawl dan Daya Dukung Lingkungan;"Pravitasari, Andrea Emma; Anwar, Syaiful; Andari, Masyitah Tri"
20/12/21;Pengaruh Penambahan Probiotik Konsorsium Thiobacillus terhadap Perubahan Kualitas Air Limbah Tambak Budidaya Udang;"Iswantari, Aliati; Muna, Wasiatul"
20/12/21;Kajian Model Penduga Sediaan Tegakan Berbasis Citra Resolusi Sedang dan Citra Resolusi Sangat Tinggi di Sulawesi Tengah;"Jaya, I Nengah Surati; Hendrastianto, Zulkarnain Ali"
20/12/21;Prediksi Deforestasi Hutan Mangrove Menggunakan Citra Resolusi Sedang (Studi Kasus: PT. Kandelia Alam);"Jaya, I Nengah Surati; Fathoni, Indy Maqdisa"
20/12/21;Segmentasi Penutupan Tajuk Hutan Lahan Kering Menggunakan Citra Resolusi Tinggi dan Sangat Tinggi;"Jaya, I Nengah Surati; Pertiwi, Ni Luh Ayu Anjani Githa"
20/12/21;Komposisi Vegetasi dan Laju Dekomposisi Serasah pada Lahan Bera dengan Umur Berbeda di Manokwari;"Qayim, Ibnul; Triadiati, Triadiati; Susanto, Slamet Arif"
18/12/21;Karakteristik dan Sebaran Pohon Sarang Orangutan Tapanuli (Pongo tapanuliensis) di Koridor Bulu Mario, Lansekap Batang Toru;"Rinaldi, Dones; Wanda, Kuswanda; Yafi, Fikri Muhammad"
18/12/21;Assessment of Land Cover and its Changes Using Multi- Vegetation Indices in Litumbandyosi-Gesimasowa Game Reserve;"Syartinilia; Setiawan, Yudi; Nakamo, Sosteness Jerome"
17/12/21;Hubungan Tingkat Keberhasilan Program Corporate Social Responsibility (CSR) dengan Kemandirian Masyarakat (Kasus : Program Pengembangan  Budidaya Kopi Halmahera  PT Antam Tbk UBPN Maluku Utara, Desa Baburino dan Soa Laipoh, Kecamatan Maba, Kabupaten Halmahera Timur);"Falatehan, Sriwulan Ferindian; Maulud, Fitrawanti"
17/12/21;Pendugaan Populasi, Sebaran dan Potensi Ancaman Kuskus di PT Wijaya Sentosa, Kabupaten Teluk Wondama;"Santoso, Nyoto; Rahman, Dede Aulia; Felayati, Nela Resta"
17/12/21;Peningkatan Efisiensi Akuabisnis Pendederan Ikan Kerapu (Epinephelus sp.) melalui Pengembangan RAS, Aplikasi Bioremediasi, dan Padat Tebar;"Budiardi, Tatag; Effendi, Irzal; Hadiroseyani, Yani; Astari, Belinda"
13/12/21;Life Cycle Assessment Produk Semen PT. XYZ - Kabupaten Bogor, Indonesia (Cradle to Gate);"Purwanto, Moh. Yanuar Jarwadi; Siregar, Kiman; Setiawan, Arief"
13/12/21;Hubungan Karakteristik Anggota Dengan Dinamika Kelompok dan Keberdayaan Anggota Dalam Program Kampung Ramah Lingkungan (Kasus: Kelompok Ramah Lingkungan Pandawa 5 dan Kelompok Kampung Ramah Lingkungan Matahari, Kecamatan Cibinong Kabupaten Bogor, Jawa Barat);"Saharuddin; Hanifah"
13/12/21;Pengembangan Teknologi Proses Produksi Ampiang (Flakes Glutinous Rice);"Budijanto, Slamet; Sitanggang, Azis Boing; Kusnandar, Feri; Amrinola, Wiwit"
10/12/21;Kajian Literatur Pengaruh Penambahan Umbi-umbian Lokal Sebagai Sumber Prebiotik pada Total BAL Produk Yoghurt Susu Sapi;"Prangdimurti, Endang; Herman, Kamilah Rihhadatul Aisy"
09/12/21;Proporsi Mikrob dan Fluks CO2 dari Respirasi Heterotrof pada Bahan Tanah Gambut di Perkebunan Kelapa Sawit.;"Rahayu, Widyastuti; Pulunggono, Heru Bagus; Lupitasari, Eka"
09/12/21;Klasifikasi Multilabel untuk Pencarian Senyawa Herbal Potensial pada Protein Coronavirus Disease 2019;"Kusuma, Wisnu Ananta; Annisa, Annisa; Fadli, Aulia"
08/12/21;Studi tentang Body Image, Kebiasaan Makan, dan Status Gizi pada Siswi di SMAN 1 Ciomas;"Ekayanti, Ikeu; Khairunisa, Anindita"
08/12/21;Prediksi Perubahan Tutupan Lahan dengan Model Markov Chain dan ANN-Markov di DAS Krueng Aceh;"Saleh, Muhammad Buce; Puspaningsing, Nining; Syahputra, Yudi Armanda"
08/12/21;Pengembangan Uji Cepat Viabilitas Benih Kedelai (Glycine Max)(L.)) dengan Urine Sugar Analysis Paper (USAP);"Suhartanto, M. Rahmad; Widajati, Eny; Nursoleha, Annisa"
07/12/21;Implementasi Undang-Undang Nomor 18 Tahun 2013 tentang Pencegahan dan Pemberantasan Perusakan Hutan (Studi Kasus pada Konflik Agraria di Kalijaya-Selasari);"Kartodihardjo, Hariadi; Fajrialam, Titan"
07/12/21;Hubungan Kompleksitas Habitat dengan Kelimpahan Semut Terhadap Intensitas Serangan Hama Kakao pada Naungan yang Berbeda;"Widyastuti, Rahayu; Abdoellah, Soetanto; Khafidhan, Abied"
03/12/21;Pengujian Usabilitas Sistem Pencatatan Transaksi Distribusi Cabai Teknologi Blockchain dengan Cognitive Walkthrough;"Rachmaniah, Meuthia; Bancin, Rizal Fajar"
02/12/21;PENGEMBANGAN MODEL PENGUKURAN KINERJA UMUM UMKM AGROINDUSTRI DI KABUPATEN BOGOR;"Hardjomidjojo, Hartrisari; Darmawan, Muhammad Arif; Dewi, Bebri Gayananda Ria"
02/12/21;Evaluasi Inokulum Fungi Mikoriza Arbuskula (FMA) Difortifikasi Dengan Fertigasi Berbeda Pada Pembibitan Indigofera zollingeriana;"Karti, PDMH; Abdullah, Luki; Fitria, Ana"
02/12/21;Pengembangan Digitalisasi Pertanian untuk Mendukung Kemandirian Petani;"Maarif, M. Syamsul; Zulbainarni, Nimmi; Johan, Daniel"
02/12/21;Pemetaan Kesesuaian Habitat Owa Jawa (Hylobates moloch Audebert 1798) di Pulau Jawa;"Prasetyo, Lilik; Akbar, Ramadhian"
02/12/21;Reformulasi Ransum Sapi Perah Berbasis Rumen Degradable Protein dan Total Digestible Nutrient Dengan Berbagai Level;"Permana, Idat Galih; Depal; Sahroni, Wira Pratama"
01/12/21;Fenomena Overreaction pada Saham Syariah di Indonesia Selama Pandemi COVID-19;"Hasanah, Neneng; Irfany, Mohammad Iqbal; Afifah, Tiara Early"
01/12/21;Pengaruh Gliserol terhadap Survival Rate dan Kualitas Ikan Mas (Cyprinus carpio) yang Mengalami Kejutan Suhu Beku;"Suwandi, Ruddy; Nugraha, Roni; Alifah, Annisa Rizqi Nur"
01/12/21;Pengaruh Anggaran Dinas Kebudayaan dan Pariwisata terhadap Jumlah Kunjungan Wisatawan di Kabupaten Bogor;"Anggraeni, Lukytawati; Sasongko, Hendro; Jufri, Supriadi"
01/12/21;Rancang Bangun Sistem Informasi Akademik Perguruan Tinggi Berbasis Blockchain;"Hermadi, Irman; Arkeman, Yandra; Jabar, Alvian Abdul"
2021-12;Pengaruh Konsentrasi Natrium Sitrat dan Tipe Pengering terhadap Karakteristik Nasi Instan;"Sugiyono; Muhandri, Tjahja; Syamarta, Alfiana"
2021-12;Sifat Antioksidan Zat Ekstraktif Daun Pohon Manglid (Magnolia sumatrana (Miq.) Figlar & Noot.);"Syafii, Wasrin; Nuraffifah, Salma"
2021-12;Desain Model Bisnis Sayuran Hidroponik Berbasis Preferensi Konsumen (Studi Kasus: KTD Koplak Mandiri Kota Bogor).;"Nurhayati, Popong; Dewi, Febriantina; Salsabilla, Syifa"
2021-12;Gambaran Potensi Amyloidopathy pada Organ Ginjal Mencit (Mus musculus) Pascapenyuntikan Beta amiloid (A_) 40 dan 42;"Setiyono, Agus; Darusman, Huda Salahudin; Puspawati, Linda"
