issued_date,title,authors,tanggal_valid,subject,cluster
2020-01-01 00:00:00,Morfogenetik dan Genetika Populasi Ophiocoma scolopendrina (Echinodermata: Ophiuroidea) di Perairan Pesisir Aceh Besar,"['Madduppa, Hawis', ' Zamani, Neviaty Putri', ' Mursawal, Asri']",True,"['populasi', 'perairan', 'pesisir', 'aceh']",19
2020-01-01 00:00:00,Pemanfaatan Tempat Pembuangan Akhir (TPA) Jatibarang Semarang oleh Kuntul kerbau (Bubulcus ibis Linnaeus 1758),"['Mardiastuti, Ani', ' Mulyani, Yeni Aryati', ' Fadila, Muhammad Imam']",True,['pemanfaatan'],19
2020-01-01 00:00:00,Analisis Kadar 3-MCPDE dan GE pada Susu Formula dengan Metode Gas Chromatography Mass Spectrometry (AOCS Cd29a-13:2013),"['Andarwulan, Nuri', ' Faridah, Didah Nur', ' Maulina, Yuliffa Ika Putri']",True,"['analisis', 'kadar', 'susu', 'metode']",19
2020-01-01 00:00:00,Keefektifan Tetragonula laeviceps (Apidae: Meliponinae) dan Serangga Penyerbuk Lain dalam Penyerbukan Tanaman Cabai dan Estimasi Nilai Ekonominya.,"['Nurmansyah, Ali', ' Mubin, Nadzirum', ' Rohmah, Atia']",True,"['serangga', 'tanaman', 'cabai', 'estimasi', 'nilai', 'tanaman cabai', 'estimasi nilai']",116
2020-01-01 00:00:00,Analisis Alokasi Anggaran Kosmetik Halal Bagi Perempuan Bekerja di Kota Bogor,"['Wiliasih, Ranti', ' Rodhiyah, Rifah']",True,"['analisis', 'perempuan', 'kota', 'bogor', 'kota bogor']",35
2020-01-01 00:00:00,Analisis Kepribadian dan Preferensi Risiko Investor Dalam Penggunaan Aplikasi Online Trading,"['Ermawati, Wita Juwita', ' Fariyanti, Anna', ' Siregar, Hasnah Sabrina']",True,"['analisis', 'preferensi', 'risiko', 'penggunaan', 'aplikasi', 'online']",19
2020-01-01 00:00:00,Analisis Potensi Senyawa Aktif Brokoli (Brassica oleracea L var. italica) dalam Menginhibisi Kelch-like Ech-associated Protein 1 pada Penderita Diabetes Tipe 2,"['Hasim', ' Ambarsari, Laksmi', ' Haridas, Rosa Berlina']",True,"['analisis', 'potensi', 'senyawa', 'aktif', 'var', 'protein', 'tipe', 'analisis potensi']",22
2020-01-01 00:00:00,Strategi Pemasaran Produk Kopi Ready to Drink Industri Kecil Menengah Agroindustri Kopi Dompet Dhuafa di Bogor,"['Raharja, Sapta', ' Suharjo, Budi', ' Hidayat, Adhi Nur']",True,"['bogor', 'strategi', 'pemasaran', 'produk', 'kopi', 'to', 'industri', 'menengah', 'agroindustri']",19
2020-01-01 00:00:00,"Perilaku Afiliatif Pasangan Owa Jawa (Hylobates moloch) di Pusat Rehabilitasi Primata Jawa, Ciwidey, Jawa Barat","['Perwitasari, RR Dyah', ' Iskandar, Entang', ' Pradekso, Nur Aisyah']",True,"['perilaku', 'jawa', 'pusat', 'barat', 'jawa barat']",54
2020-01-01 00:00:00,Analisis Manfaat Ekonomi dan Daya Dukung Sebagai Dasar Pengelolaan Wisata Air Terjun Cibeureum Resort Cibodas Taman Nasional Gunung Gede Pangrango,"['Ekayani, Meti', ' Sunkar, Arzyana', ' Lakspriyanti, Anindika Putri']",True,"['analisis', 'ekonomi', 'daya', 'dasar', 'pengelolaan', 'wisata', 'air', 'taman', 'nasional', 'gunung', 'taman nasional', 'nasional gunung', 'taman nasional gunung']",28
