Issue Date;Title;Author(s);;
2020;Pendugaan Value-at-Risk dan Expected-Shortfall Portofolio dari Tiga Aset Keuangan dengan Pendekatan Copula-ARMA-GARCH;"Budiarti, Retno; Mangku, I Wayan; Rahmawati, Vinni Maulidina";;
2020;Kombinasi Ekstrak Etanol Temulawak dan Propolis sebagai Antitumor Mammae pada Tikus Sprague-Dawley.;"Hasan, Akhmad Endang Zainal; Handharyani, Ekowati; Susilawati";;
2020;Pendugaan VaR dan TVaR Berdasarkan Model Drawable Vine Copula dengan Simulasi Monte Carlo;"Ruhiyat; Budiarti, Retno; Amalia, Unun Rizka";;
2020;Profil Metabolit Ekstrak Daun Sembung (Blumea balsamifera) Menggunakan Kromatografi Cair-Spektrometri Massa;"Heryanto, Rudi; Rafi, Mohamad; Anindya, Weni";;
2020;Analisis In-Silico Pegaruh Konformasi Molekul Benzileugenol Dibromida pada Sinyal Resonans Magnetik Inti;"Mas_ud, Zainal Alim; Irfana, Luthfan; Octonariz, Vito Zhafran";;
2020;Analisis Keberlanjutan dan Strategi Kebijakan Lahan Pertanian Pangan di Kota Bogor;"Nindyantoro; Gandhi, Prima; Darmawan, Irham";;
2020;Studi Kelayakan Kerjasama Pengembangan Mesin Karbonasi Sampah pada Apartemen Taman Rasuna, Jakarta Selatan;"Mulyati, Heti; Septiani, Stevia; Kusmawati, Mega";;
2020;Analisis Sikap, Preferensi, dan Keputusan Pembelian Konsumen terhadap Buah Durian di Kota Bekasi;"Yusalina; Karenina, Juniar";;
2020;Faktor-Faktor yang Memengaruhi Impulse Buying Es Kopi Susu Kekinian di Kota Bogor;"Siregar, Edward H; Kharista, Kania Tistya";;
2020;Analisis Faktor-Faktor yang Memengaruhi Financial Distress pada Perusahaan Asuransi Jiwa;"Ermawati, Wita Juwita; Maulana, Ikhsan";;
2020;Pendapatan Usahatani Ternak Kelinci Berdasarkan Skala Usaha di Provinsi Jawa Barat;"Rachmina, Dwi; Dewi, Triana Gita; Kholish, Usamah Nur";;
2020;Pengaruh Struktur Modal terhadap Kinerja Keuangan pada Dual Banking System di Indonesia.;"Wiliasih, Ranti; Irfany, Mohammad Iqbal; Melinda, Vera";;
2020;Faktor-Faktor yang Memengaruhi Keputusan Wakif untuk Berwakaf Uang di Kabupaten Purworejo.;"Hasanah, Neneng; Muthohharoh, Marhamah; Rositanti, Meilina";;
2020;Analisis Pengaruh Pendidikan, Upah dan Kesempatan Kerja Terhadap Pengangguran Terdidik di Provinsi Jawa Barat;"Findi, Muhammad; Sundari, Reva";;
