issued_date,title,authors,tanggal_valid,subject,cluster
,"Kajian Regresi Poisson, Poisson Terampat, dan Binomial Negatif Pada Data Kemiskinan di Indonesia","['Aidi, Muhammad Nur', ' Silvianti, Pika', ' Ambarita, Dicky Okada']",False,"['kajian', 'regresi', 'data', 'kemiskinan', 'indonesia']",19
,"Analisis Fitokimia, Ekstraksi, Fraksionasi, dan Ulasan Potensi Temu Mangga (Curcuma mangga) sebagai Antioksidan","['Mas ud, Zainal Alim', ' Sugita, Purwantiningsih', ' Apitasari, Monica']",False,"['analisis', 'potensi', 'ekstraksi', 'curcuma', 'antioksidan']",19
,Penurunan Tegangan Permukaan dan Daya Hambat Escherichia coli dan Staphylococcus aureus oleh Ekstrak Daun Graptophyllum pictum (L.) Griff,"['Andrianto, Dimas', ' Safithri, Mega', ' Nurinsani, Elgiani Yassifa Yulia']",False,"['daya', 'coli', 'staphylococcus', 'ekstrak', 'daun', 'ekstrak daun']",53
,Sintesis Grafena sebagai Bahan Dasar Fabrikasi Screen Printed Carbon Electrode dengan Teknik Sablon,"['Heryanto, Rudi', ' Wahyuni, Wulan Tri', ' Ramadhanti, Desi']",False,"['dasar', 'sintesis', 'bahan', 'teknik']",19
,Pengembangan Front-end Aplikasi Marketplace Tokocabai berbasis Web,"['Rachmaniah', ' Krismanti, Maya Maharani']",False,"['aplikasi', 'pengembangan', 'berbasis']",29
,Konstruksi Persamaan Friedmann Alam Semesta Friedmann-Lemaitre-Robertson-Walker Termodifikasi Materi Gelap Superfluida,"['Alatas, Husin', ' Sumaryada, Tony Ibnu', ' Akbar, Nugrah Abil']",False,"['konstruksi', 'alam', 'termodifikasi']",19
,Analisis Kestabilan pada Model Epidemik SIR dengan Waktu Diskret.,"['Sumarno, Hadi', ' Kusnanto, Ali', ' Putri, Fajr Nida Akhlul Hikmah']",False,"['analisis', 'model', 'kestabilan', 'analisis kestabilan', 'kestabilan model', 'analisis kestabilan model']",41
,Aktivitas Ekstrak Temulawak terhadap Pertumbuhan Tumor Mammae Tikus Sprague Dawley yang Diinduksi DMBA,"['Hasan, Akhmad Endang Zainal', ' Handharyani, Ekowati', ' Wahyuni, Sri']",False,"['ekstrak', 'aktivitas', 'temulawak', 'pertumbuhan', 'tikus', 'diinduksi']",93
,Populasi dan Komposisi Gastropoda Air Tawar di Beberapa Situ Dengan Persentase Pemukiman Berbeda di Kabupaten Bogor,"['Priawandiputra, Windra', ' Mujiono, Nova', ' Yasrila, Suci Trima']",False,"['populasi', 'bogor', 'air', 'komposisi', 'berbeda', 'kabupaten', 'kabupaten bogor']",73
,Karakterisasi Ekstrak Secang (Caesalpinia sappan) Menggunakan Spektrofotometer UV-Vis dan Telaah Mengenai Aplikasi Zat Warna pada Semikonduktor TiO2,"['Arif, Zulhan', ' Wahyuni, Wulan Tri', ' Listiana, Tri Sunti']",False,"['aplikasi', 'ekstrak', 'karakterisasi', 'zat', 'warna']",86
