Issue Date;Title;Author(s)
23/10/18;Perencanaan SumberDaya Manusia Tenaga Kependidikan Universitas Pendidikan Indonesia Kampus Daerah;"Ma'arif, Syamsul;Amanah, Siti;Suartini, Iin"
2018-09;Analisis kelayakan usaha penggemukan Domba (Studi Kasus di PT Tawakkal Ternak Indonesia);"Yamin, Moh;Mulatsih, Sri;Akmalia, Ari Dina"
12/04/18;Analisis Pengaruh Karakteristik Obligasi, Kinerja Keuangan dan Variabel Makro terhadap Return Obligasi Korporasi pada Sektor Agribisnis;"Anggraeni, Lukytawati;Andati, Trias;Kusumaningrum, Dewi"
2018-04;Pengembangan Model Spatio-Temporal Conditional Autoregressive Untuk Pendugaan Curah Hujan Ekstrim Di Wilayah Jawa Barat;Rinaldi, Achi
15/02/18;Kebijakan Modal Kerja, Profitabilitas dan Nilai Perusahaan pada Perusahaan Manufaktur di Bursa Efek Indonesia (BEI);"Firdaus, Muhammad;Rachmina, Dwi;Prihatiningtyas, Marseli Chris"
2018;Manajemen Produksi Caisim Organik dengan Aspek Khusus Pemulsaan di Yayasan Bina Sarana Bakti, Cisarua, Bogor, Jawa Barat.;"Nindita, Anggi;Kartika, Delima Ragil"
2018;Evaluasi Sistem Pengelolaan Taman Vertikal di Kota Bogor dan Sentul City;"Arifin, Hadi Susilo;Muhammad, Afdhal"
2018;Masterplan Lanskap Pascatambang Batubara PT Arutmin Indonesia untuk Agroforestri di Asam Asam Kalimantan Selatan;"Utami, Fitriyah Nurul Hidayati;Zulfikar, Arya"
2018;Perencanaan Lanskap Kawasan Ekowisata Tetebatu, Taman Nasional Gunung Rinjani.;"Syafitri, Utami Dyah;Sulvianti, Itasia Dina;Utami, Amaranti Sih"
2018;Desain Taman sebagai Sarana Bermain Anak di Kebun Binatang Bandung.;"Fatimah, Indung Sitti;Gani, Annisa Utami"
2018;Optimasi Tandan Kosong dan NPK Majemuk pada Kelapa Sawit Umur Empat Tahun (Elaeis guineensis Jacq.).;"Sudradjat;Diyansyah, Avan Nur"
2018;Mengungkap Keanekaragaman Spesies dan Komposisi Ikan dari Ikan Karang Perikanan Tangkap Melalui DNA Barcoding dan Phylogenetika di Pulau Lombok.;"Madduppa, Hawis H.;Humphries, Austin T.;Herjana, Nugraha Agung"
2018;Isolasi dan Identifikasi Sekuen Parsial Gen Monokarboksilat Transporter-like pada Ikan Gurami Osphronemus goramy;"Alimuddin;Maulana, Fajar;Abdurrachman, Muhammad Luthfi"
2018;Sebaran dan Keanekaragaman Life Form Karang di Perairan Zona Inti dan Zona Pemanfaatan, Taman Nasional Laut Kepulauan Seribu.;"Bengen, Dietriech G.;Srimariana, Endang Sunarwati;Karuniaillahi, Mutiara Tiffani"
2018;Biodegradasi Tumpahan Minyak Bumi Menggunakan Bakteri Laut Dalam dengan Penambahan Surfaktan;"Prartono, Tri;Kussuryani, Yanni;Prastiko, Rendy Budi"
2018;Karakteristik Minuman Jeli dengan Fortifikasi Kolagen Kulit Ikan Tuna (Thunnus albacares);"Suptijah, Pipih;Abdullah, Asadatun;Maharani, Siti Agni"
2018;Kinerja Pertumbuhan Ikan Nila Oreochromis niloticus Menggunakan Pakan dengan Penambahan Asam Fulvat;"Jusadi, Dedi;Ekasari, Julie;Silalahi, Marcellinus"
2018;Penapisan Kapang Selulolitik dan Karakterisasi Ekstrak Kasar Enzim Selulase Kapang Endofit Laut;"Tarman, Kustiariyah;Nurhayati, Tati;Fatmila, Kiki Galih"
2018;Pengukuran Nilai Target Strength Kuda Laut Menggunakan Instrumen Single Beam SIMRAD EK 15;"Hestirianoto, Totok;Pujiyati, Sri;Rifaldi, Muhammad"
2018;Produktivitas Kangkung Air (Ipomoea aquatica) dari Sumber Nutrien Limbah Tahu.;"Ayu, Inna Puspa;Pratiwi, Niken TM;Maulidiya, Ida"
2018;Strategi Pemasaran UMKM dalam Meningkatkan Daya Saing di Pasar Ritel Modern Carrefour (Kasus PT MadaniFood, Jakarta).;"Hubeis, Musa;Riani, Etty;Dewi, Mariena"
2018;Ketahanan Oriented Strand Board (OSB) dari Bambu Betung (Dendrocalamus asper (Schult.F) Backer ex. Heyne) Terhadap Cuaca, Serangan Jamur Pelapuk Putih dan Kumbang Bubuk.;"i Febrianto, Fauz;Herliana, Elis Nina;Asmur, Muhammad Anchu Kastian"
2018;Perception of Farmers about of Keujruen Blang Competence in Aceh Besar District Aceh Province;"Muljono, Pudji;Sadono, Dwi;Ikhsan"
2018;Penggunaan Lampu Atas dan Lampu Celup Dalam Air pada Bagan Perahu di Perairan Botang Loman Halmahera Selatan;"Suganda, Sulaeman Marta;i Woyono, Eko Sr;Adam, Marwan"
2018;Pengembangan Model Bisnis Beras Analog;"Hermawan, Aji;Yuliasih, Indah;Supriadi, Jejen"
2018;Pengelolaan Kesejahteraan Rusa Timor (Cervus timorensis) dan Pemanfaatannya sebagai Obyek Wisata di Tahura Djuanda Bandung.;"Masy'ud, Burhanuddin;Meilani, Resti;Kurniawan, Achmad Rizki"
2018;Pemanfaatan Sistem Informasi Geografis dalam Pemetaan Daerah Rawan Banjir di Daerah Aliran Sungai Citarum Hulu Kabupaten Bandung.;"Puspaningsih, Nining;Nurjaman, Agus"
2018;Pengamatan Gejala Sindrom Mati Pucuk pada Tanaman Cengkih (Syzygium aromaticum L. Merr. Perry) di Kabupaten Trenggalek, Jawa Timur;"Widodo;Prasetyo, Gecci Dwi"
2018;Bakteri Kitinolitik untuk Menekan Populasi dan Kemampuan Bemisia tabaci (Gennadius) Menularkan Cowpea mild mottle virus pada Kedelai;"Damayanti, Tri Asmira;Asmira, Tri;Hafizh, Muhammad Fikri"
2018;Pengaruh Ekstrak Tephrosia vogelii dan Annona muricata terhadap Mortalitas Rayap Tanah Coptotermes curvignathus dengan Dua Metode Aplikasi.;"Harahap, Idham Sakti;Prasta, Enggar"
2018;Penerapan Dinding Penahan Tanah pada Lanskap di Vimala Hills, Bogor, Jawa Barat.;"Nuryanti, Pingkan;Avionita, Joanne"
2018;Kualitas Fisik dan Kimia Buah Jambu Kristal (Psidium guajava L.) pada Letak Cabang yang Berbeda;"Susanto, Slamet;Rustani, Dona"
2018;Produksi Dua Varietas Padi Sawah (Oryza sativa L.) dengan Aplikasi Pupuk Kalium;"Purnamawati, Heni;Wirnas, Desta;Maulana, Ikhsan"
2018;Perikanan Tuna Handline Skala Kecil dan Persepsi Nelayan terhadap Penerapan Program Fair Trade di Parigi, Maluku Tengah.;"Wiryawan, Budy;Puspito, Gondo;Prianto, Teguh"
2018;Sistem dan Kontribusi Usaha Peternakan Kambing PE Bagi Peternak di Kecamatan Keruak, Kabupaten Lombok Timur, NTB;"Baihaqi, Muhamd;ENSD, Lucia Cyrilla;Ashari, Arif Hidayad"
2018;Rancang Bangun dan Uji Lapang Peraut Kekeruhan Perairan dengan Sistem Telemetri.;"Jaya, Indra;Iqbal, Muhammad;Riyanto, Slamet"
2018;Pemetaan Sebaran Habitat Lamun Berbasis Objek Menggunakan Citra SPOT-7 dan Sentinel-2A di Pulau Panjang Besar Kepulauan Seribu.;"Siregar, Vincentius P.;Gaol, Jonson Lumban;Putri, Ulfah Rahma"
2018;Distribusi Spasial dan Struktur Komunitas Gastropoda di Pulau Kelapa, Kepulauan Seribu.;"Zamani, Neviaty Putri;Setyobudiandi, Isdrajad;Sofiani, Rosmalia"
2018;Indeks Stres Ayam Broiler yang Disembelih dengan Cara Stunning dan Tanpa Stunning;"Ulupi, Niken;Satyaningtijas, Aryani S.;Anwar, David"
2018;Efektivitas Penambahan Glutamin dan Glutamat dalam Pakan untuk Kinerja Pertumbuhan Benih Ikan Nila Merah Oreochromis niloticus;"Jusadi, Dedi;Ekasari, Julie;Rahmawati, Yanti"
2018;Hubungan Ukuran Tubuh Sapi FHMenggunakan Metode Citra Digital terhadap Produksi di WWF Bogor;"Atabany, Afton;Komala, Iyep;Zein, Dilla Syauqi"
2018;Peran Vegetasi Pekarangan dalam Meredam Kebisingan di Sepanjang Jalur Pembangunan Light Rail Transit (LRT) Kota Palembang.;"Hermawan, Rachmad;Sunarminto, Tutut;Harisman, Muhammad Ikhsan"
2018;Uji Prosedur Evaluasi Kesesuaian Lahan untuk Tanaman Jati (Tectona grandis Linn.f.) (Studi kasus di BKPH Tomo Selatan KPH Sumedang).;"Wibowo, Cahyo;Hadi, Sofyan"
2018;Pengembangan Wisata Berbasis Masyarakat Di Kawasan Batuluhur Taman Nasional Gunung Ciremai;"Muntasib, E.K.S. Harini;Sunkar, Arzyana;Sitanggang, Pese Inka"
2018;Karakteristik kekasaran permukaan kayu pinus hasil pengerjaan dengan up-cut dan down-cut router bits;"Darmawan, I Wayan;Azhari, Moh"
2018;Karakteristik Habitat Kuskus beruang (Ailurops ursinus Temminck, 1824) di Taman Nasional Bantimurung Bulusaraung, Sulawesi Selatan.;"Mustari, Abdul Haris;Khairunnisa, Sri Reski"
2018;Estimasi Pertumbuhan Tegakan Mangrove Menggunakan Citra Satelit SPOT 6 di Kabupaten Kubu Raya Kalimantan Barat;"Jaya, I Nengah Surati;Anggraini, Nanin;Noventasari, Dwi"
2018;Keanekaragaman Jenis Arthropoda Tajuk di Hutan Mangrove Ciletuh, Sukabumi, Jawa Barat;"Kusmana, Cecep;Haneda, Noor Farikhah;Ramadhan, Bagas Kurnia"
2018;Analisis Tingkat Keberhasilan Pembangunan Hutan Rakyat di Desa Mrayan Kecamatan Ngrayun Kabupaten Ponorogo;"Hardjanto;Ghoni, Ilman"
2018;Nanoserat Tandan Kosong Kelapa Sawit untuk Penguat Film Komposit.;"Hadi, Yusuf Sudo;Nikmatin, Siti;Massijaya, Muh Yusram;Solikhin, Achmad"
2018;Kesesuaian Ukuran Kapal dengan Dokumen pada Kapal Longline di Palabuhanratu.;"Soeboer, Deni Achmad;Imron, Mohammad;Nugraha, Faizal Rivaldi"
2018;Kinerja Produksi Ikan Synodontis Synodontis eupterus pada Teknologi Bioflok C/N 12 dengan Padat Tebar Berbeda;"Diatin, Iis;Shafruddin, Dadang;Sari, Betti Purnama"
2018;Identifikasi Molekuler Marka Gen 16S rRNA sebagai Dasar Pengelolaan Mimi (Tachypleus gigas) di Perairan Subang, Demak, dan Surabaya;"Mashar, Ali;Butet, Nurlisa A.;Rossa, Diajeng Maretha Fabyana"
2018;Keanekaragaman dan Asosiasi Pelecypoda pada Ekosistem Mangrove di Taman Hutan Raya Ngurah Rai Bali.;"Bengen, Dietriech G;Srimariana, Endang Sunarwati;Putri, Eliza Arieffiatiratna"
2018;Kesesuaian Aktivitas Produksi Bakso Ikan terhadap Standar Nasional Indonesia (Studi Kasus: PT King Food, Bekasi).;"Sumaryanto, Heru;Riyanto, Bambang;Hakim, Abdul Aziz"
2018;Evaluasi Keberhasilan Pelaksanaan Program Inseminasi Buatan (IB) Sapi Potong di Provinsi Kalimantan Selatan;"Tumbelaka, Ligaya ITA;Purwantara, Bambang;Nova, Vicky"
2018;Identifikasi Molekuler dan Deteksi Aktivitas Proteolitik dari Isolat Lokal Mikroalga LR50;"Nurilmala, Mala;Mustopa, Apon Zaenal;Krisnawati, Devi Karoma"
2018;Pemanfaatan Limbah Tahu sebagai Sumber Nutrien untuk Pertumbuhan Genjer (Limnocharis flava).;"Ayu, Inna Puspa;Pratiwi, Niken TM;Utomo, Ingga Decke Khrysandri"
2018;Optimisasi Manajemen Aset Tetap dalam Mewujudkan Good Governance di Provinsi DKI Jakarta;"Syaukat, Yusman;Falatehan, A. Faroby;Kusworoini, Ika Aprilia"
2018;Cacahan Batang Pisang untuk Meningkatkan Imunitas dan Daya Tahan Ikan Nila terhadap Streptococcosis;"Nuryati, Sri;Alimuddin;Nirmala, Kukuh;Nurjanah, Lilis"
2018;Penggunaan Tepung Daun Indigofera zollingeriana Fermentasi sebagai Substitusi Bungkil Kedelai dalam Pakan Benih Ikan Jelawat Leptobarbus hoevenii.;"Setiawati, Mia;Sunarno, Mas Tri Djoko;Pangentasari, Dwinda"
2018;Rekayasa Ekologis pada Lanskap Riparian Sungai Ciliwung di Kota Bogor;"Arifin, Hadi Susilo;Kaswanto;Mosyaftiani, Amarizni"
2018;Faktor-Faktor Penentu Status Berkelanjutan Tempat Penampungan dan Potong Ayam (TPnA) di Pondok Rumput Kota Bogor;"Pribadi, Eko Sugeng;Dyah, Maharani,Maya Dewi;Puspaningrat, Luh Putu Desy"
2018;Manajemen Ruang Terbuka Biru Sungai Ciliwung untuk Keberlanjutan Sumber Air Baku di Kota Bogor;"Arifin, Hadi Susilo;Kaswanto;Sutrisno, Alfred Jansen"
2018;Karakterisasi Senyawa Humat Hasil Ekstraksi Beberapa Bahan dan Pengaruhnya terhadap Pertumbuhan Tanaman Jagung (Zea mays).;"Suwardi;Sumawinata, Basuki;Rahmi, Eka"
2018;Analisis Genetik dan Non Genetik Kualitas Semen Sapi Bali (Bos javanicus);"Jakaria;Arifiantini, Iis;Sitanggang, Gunawan"
