author,jml_penelitian
"Ma'arif, Syamsul",1
"Amanah, Siti",43
"Suartini, Iin",1
"Yamin, Moh",4
"Mulatsih, Sri",61
"Akmalia, Ari Dina",1
"Anggraeni, Lukytawati",44
"Andati, Trias",3
"Kusumaningrum, Dewi",1
"Rinaldi, Achi",3
"Firdaus, Muhammad",47
"Rachmina, Dwi",52
"Prihatiningtyas, Marseli Chris",1
"Nindita, Anggi",4
"Kartika, Delima Ragil",1
"Arifin, Hadi Susilo",47
"Muhammad, Afdhal",1
"Utami, Fitriyah Nurul Hidayati",18
"Zulfikar, Arya",1
"Syafitri, Utami Dyah",37
"Sulvianti, Itasia Dina",30
"Utami, Amaranti Sih",1
"Fatimah, Indung Sitti",34
"Gani, Annisa Utami",1
Sudradjat,15
"Diyansyah, Avan Nur",1
"Madduppa, Hawis H",27
"Humphries, Austin T",1
"Herjana, Nugraha Agung",1
Alimuddin,36
"Maulana, Fajar",19
"Abdurrachman, Muhammad Luthfi",1
"Bengen, Dietriech G",15
"Srimariana, Endang Sunarwati",20
"Karuniaillahi, Mutiara Tiffani",1
"Prartono, Tri",36
"Kussuryani, Yanni",1
"Prastiko, Rendy Budi",1
"Suptijah, Pipih",17
"Abdullah, Asadatun",51
"Maharani, Siti Agni",1
"Jusadi, Dedi",52
"Ekasari, Julie",38
"Silalahi, Marcellinus",1
"Tarman, Kustiariyah",33
"Nurhayati, Tati",48
"Fatmila, Kiki Galih",1
"Hestirianoto, Totok",27
"Pujiyati, Sri",36
"Rifaldi, Muhammad",1
"Ayu, Inna Puspa",9
"Pratiwi, Niken TM",7
"Maulidiya, Ida",1
"Hubeis, Musa",68
"Riani, Etty",38
"Dewi, Mariena",1
"i Febrianto, Fauz",1
"Herliana, Elis Nina",1
"Asmur, Muhammad Anchu Kastian",1
"Muljono, Pudji",54
"Sadono, Dwi",36
Ikhsan,1
"Suganda, Sulaeman Marta",1
"i Woyono, Eko Sr",1
"Adam, Marwan",1
"Hermawan, Aji",12
"Yuliasih, Indah",29
"Supriadi, Jejen",1
"Masy'ud, Burhanuddin",32
"Meilani, Resti",10
"Kurniawan, Achmad Rizki",1
"Puspaningsih, Nining",33
"Nurjaman, Agus",1
Widodo,16
"Prasetyo, Gecci Dwi",2
"Damayanti, Tri Asmira",20
"Asmira, Tri",1
"Hafizh, Muhammad Fikri",1
"Harahap, Idham Sakti",19
"Prasta, Enggar",1
"Nuryanti, Pingkan",18
"Avionita, Joanne",1
"Susanto, Slamet",21
"Rustani, Dona",1
"Purnamawati, Heni",35
"Wirnas, Desta",34
"Maulana, Ikhsan",1
"Wiryawan, Budy",22
"Puspito, Gondo",18
"Prianto, Teguh",1
"Baihaqi, Muhamd",1
"ENSD, Lucia Cyrilla",4
"Ashari, Arif Hidayad",1
"Jaya, Indra",46
"Iqbal, Muhammad",11
"Riyanto, Slamet",1
"Siregar, Vincentius P",23
"Gaol, Jonson Lumban",25
"Putri, Ulfah Rahma",1
"Zamani, Neviaty Putri",36
"Setyobudiandi, Isdrajad",4
"Sofiani, Rosmalia",1
"Ulupi, Niken",31
"Satyaningtijas, Aryani S",1
"Anwar, David",1
"Rahmawati, Yanti",1
"Atabany, Afton",40
"Komala, Iyep",17
"Zein, Dilla Syauqi",1
"Hermawan, Rachmad",38
"Sunarminto, Tutut",41
"Harisman, Muhammad Ikhsan",1
"Wibowo, Cahyo",16
"Hadi, Sofyan",1
"Muntasib, EKS Harini",26
"Sunkar, Arzyana",36
"Sitanggang, Pese Inka",1
"Darmawan, I Wayan",22
"Azhari, Moh",1
"Mustari, Abdul Haris",24
"Khairunnisa, Sri Reski",1
"Jaya, I Nengah Surati",40
"Anggraini, Nanin",1
"Noventasari, Dwi",1
"Kusmana, Cecep",54
"Haneda, Noor Farikhah",28
"Ramadhan, Bagas Kurnia",1
Hardjanto,24
"Ghoni, Ilman",1
"Hadi, Yusuf Sudo",44
"Nikmatin, Siti",24
"Massijaya, Muh Yusram",13
"Solikhin, Achmad",1
"Soeboer, Deni Achmad",3
"Imron, Mohammad",20
"Nugraha, Faizal Rivaldi",1
"Diatin, Iis",22
"Shafruddin, Dadang",15
"Sari, Betti Purnama",1
"Mashar, Ali",27
"Butet, Nurlisa A",7
"Rossa, Diajeng Maretha Fabyana",1
"Putri, Eliza Arieffiatiratna",1
"Sumaryanto, Heru",19
"Riyanto, Bambang",25
"Hakim, Abdul Aziz",1
"Tumbelaka, Ligaya ITA",6
"Purwantara, Bambang",14
"Nova, Vicky",1
"Nurilmala, Mala",51
"Mustopa, Apon Zaenal",10
"Krisnawati, Devi Karoma",1
"Utomo, Ingga Decke Khrysandri",1
"Syaukat, Yusman",55
"Falatehan, A Faroby",40
"Kusworoini, Ika Aprilia",1
"Nuryati, Sri",41
"Nirmala, Kukuh",37
"Nurjanah, Lilis",1
"Setiawati, Mia",47
"Sunarno, Mas Tri Djoko",2
"Pangentasari, Dwinda",1
Kaswanto,30
"Mosyaftiani, Amarizni",1
"Pribadi, Eko Sugeng",15
"Dyah, Maharani,Maya Dewi",1
"Puspaningrat, Luh Putu Desy",1
"Sutrisno, Alfred Jansen",1
Suwardi,15
"Sumawinata, Basuki",17
"Rahmi, Eka",1
Jakaria,43
"Arifiantini, Iis",6
"Sitanggang, Gunawan",1
"Hernowo, Jarwadi Budi",22
"Prasetyo, Lilik Budi",41
"Brillianti, Dwitantian Hawa",1
Krisantini,17
"Wiendi, Ni Made Armini",27
"Janati, Rahayu Ning",1
"Putri, Meiliwati Widya",1
"Khumaida, Nurul",18
"Ardie, Sintho Wahyuning",34
"Sansurya, Mohammad Erison Caesar",1
"Hidayat, Purnama",33
"Afifah, Mauliddini Nur",1
"Hani', Rizkiya",1
"Suprayudi, Muhammad Agus",35
Anugrah,1
"Soviana, Susi",28
"Hadi, Upik Kesumawati",34
"Kamiring, Azery Bin",1
"i Harahap, Idham Sakt",1
"Rafidatillah, Ulfa",1
"Munif, Abdul",27
"Wulandari, Rafika Ridwan",1
"Sinaga, Meity Suradji",14
"Mardhatillah, Zahrusyka",1
"Santosa, Edi",32
Tiffani,1
"Guntoro, Dwi",31
"Utomo, Wahyu",1
"Mustika, Aulia Andi",30
"Wintarsih, Ietje",2
"Fadhillah, Anna Aesha",2
"Indrawati, Agustin",26
"Afiff, Usamah",24
"Nugroho, Aditya Sandi",1
"Djokosetyanto, Daniel",1
"Sukowati, Aniek Suryani",1
"Fuah, Asnath M",3
"Endrawati, Yuni Cahya",27
"Hapsari, Danes Galuh Pramudhita Lingga",1
"Priyanto, Rudy",43
"Aditia, Edit Lesa",20
"Pangestu, Muhammad Bintang",1
"Tursiloadi, Silvester",1
"Suryani, Ani",12
"Tsany, Farah Athiyyah",1
"Purwanto, Muhammad Yannuar Jarwadi",1
Widiatmaka,44
"Prasetyo, Lilik B",2
"Budianto, Bambang Setio",1
"Khomsan, Ali",57
"Sukandar, Dadang",17
"Riyadi, Hadi",39
"Yulia, Cica",1
Nahrowi,42
"Ridla, Muhammad",34
"Yaman, Aman",1
"Setiyono, Agus",20
Allaily,1
Sumardjo,31
"Sarwititi, Sarwoprasodjo",1
"Tambuan, Armansyah Halomoan",1
"Luqman, Yanuar",1
Sucahyo,1
"Nugroho, Naresworo",29
"Karlinasari, Lina",37
"Herawati, Evalina",1
"Rianawati, Sri",1
Musalamah,1
"Ariyanti, Nunik Sri",21
"Rifai, Mien Ahmad",3
"Lestari, Ria Windi",1
"Randhi, Zulfathri",1
"Sulistyaningsih, Yohana C",10
"Djuita, Nina Ratna",13
"Apriliasih, Winny Wulan",1
"Mulyati, Heti",45
"Wijaya, Nur Hadi",4
"Ramadhani, Bayu Galang",1
"Pasaribu, Syamsul Hidayat",25
"Martis, Nur'aina Ibrahim",1
"Mulijani, Sri",28
"Wulanawati, Armi",25
"Tambunan, Veronica May",1
"Batubara, Irmanida",42
"Rohaeti, Eti",37
Sumaiyah,1
"Purwaningsih, Henny",18
"Sjahriza, Ahmad",14
"Pauliana, Syariefianti",1
"Iskandar, Hermanu Widjaja",1
"Prasetya, Agung",1
"Hazra, Fahrizal",19
"Santosa, Dwi Andreas",32
"Helmi, Robbi Aulia",1
"Ilyas, Satriyas",29
"Manohara, Dyah",2
"Hikmawati, Ainun Nur Maulidina",1
"Dalimunthe, Rivai",1
"Wachjar, Ade",18
"Direja, Wahyu Angga",1
"Utami, Fitriyah Nurul H",2
"Situmorang, Juan Ponce",1
"Santoso, Sugeng",17
"Lubis, Windar Hidayati",1
"Suharsi, Tatiek Kartika",5
"Syukur, Muhamad",47
"Zebua, Mercy Julinda",1
"Makelew, Afra DN",1
"Habi, Muchammad Syaif",1
Supramana,32
"Mutaqin, Kikin Hamzah",20
"Diana, Didiet Rahayu",1
"Purwangka, Fis",28
"Iskandar, BH",1
"Jannah, Nurul Faizatil",1
"Siregar, Hermanto",56
"Putri, Eka Intan Kumala",52
"Djajuli, Idja",1
"Juliandi, Berry",41
"Boediono, Arief",40
"Sitanggang, Fajar Islam",1
"Hastuti, Yuni Puji",28
"Pratiknyo, Titis",1
"Kawaroe, Mujizat",8
"Wardiatno, Yusli",37
"Saga, Muh Mufty Izmu Abdillah",1
"Nurjaya, I Wayan",33
"Nurherdianto, Wahyu",1
"Puspitawati, Herien",41
"Yuliati, Noor Lilik",1
"Laili, Mahsiani Mina",1
"Saefuddin, Asep",28
Indahwati,37
Mardiah,1
"Evvyernie, Dwiera",1
"Harlina, Eva",18
"Pujioktari, Preti",1
"Abdullah, Luki",36
"Yaman, M Aman",1
"Kumalasari, Nur Rochmah",30
"Rosadi, Kathleya",1
"Wahyuni, Ekawati Sri",28
"Agusta, Ivanovich",10
"Dewi, Marlina Afrian",1
Yonvitner,26
"Imran, Zulhamsyah",18
"Bibin, Muhammad",2
"Zairin, Muhammad Junior",2
Widanarni,37
"Siregar, Khoirotun Nisa",1
"Haerullah, Medi",1
"Pramudya, Bambang",14
"Sumarno, Joshua Ronald",1
"Hanif, Novriyandi",9
"Setiawan, Andi",2
"Yanti, Heri",1
Arif,1
"Wahyuni, Wulan Tri",38
"Maryam, Nova Lita Sri",1
Hoerudin,2
"Fabriany, Sintya Dico",1
"Sukoco, Heru",22
"Muhammad, Fahmi Dzilikram",2
"Madya, M Miftahul",1
"Perwitasari, Raden Roro Dyah",7
"Mulyani, Yeni Aryati",28
"Sahari, Bandung",5
"Nurfaidah, Diane",2
"Hasan, Akmad Endang Zainal",1
"Julistiono, Heddy",4
"Akbar, Geodani",1
"Andrianto, Dimas",58
"Rasyid, LA Harun Al",1
"Pratama, Muhammad Rastra Teguh",2
"Heryanto, Rudi",22
"Prianti, Heapy",1
"Wahjunie, Ennie Dwi",1
"Baskoro, Dwi Putro Tejo",35
"Kaiwa, Ogan",1
"Khrisrachmansyah, Rezky",8
"Nasrullah, Nizar",41
"Imany, Wulidatul Binuril",1
"Poerwanto, Roedhy",24
"Efendi, Darda",30
"Lieka, Metta Gitania",1
"Winasa, I Wayan",16
"Najah, Siti Kamila",1
Muhamad,1
"Silaban, Yohanes Wijayanto",1
"Maulana, Mohamad Akhbar",1
"Zaman, Sofyan",24
"Wijaya, Rivandi",1
Uju,29
"Sandria, Nofri",1
"Lubis, Djuara P",36
"Sarma, Ma'mun",65
"Reza, Muhammad",1
"Adrianto, Luky",43
"Kamal, Mohammad Mukhlis",40
"Setiyaningsih, Nanik",1
"Prastiyo, Yulius Budi",1
"Koropitan, Alan Frendy",4
"Idris, Muhamad Kemal",1
"Sutriah, Komar",27
"Sari, Yessie Widya",38
"Sylvani, Miranti Maya",1
"Wahju, Ronny Irawan",20
"Rihmi, Mihrobi Khalwatu",1
"Sitanggang, Imas Sukaesih",88
Rachmawati,1
"Budiastra, I Wayan",37
"Hawino, Christiandy",1
"Astuti, Rika Indri",35
"Listiyowati, Sri",17
"Asshoolihah, Baaqiyatu",1
"Hasan, Akhmad Endang Zainal",43
"Dewi, Anggun Nia",1
"Sugita, Purwantingsih",1
"Khotib, Muhammad",3
"Fakhrullah, Fadli",1
"Pramuhadi, Gatot",28
"Suryani, Yeni",1
"Putri, Dea Ayu Andini",1
"Khotimah, Husnul",15
"Jannah, Aulya Rhoudlhathul",1
"Hanum, Farida",30
"Supriyo, Prapto Tri",14
"Martiana, Tia Ayu",1
"Dewi, Ajeng Yulia",1
"Ekayani, Meti",52
"Tampobolon, Bahroin Idris",1
"Kartikasari, Deasy",1
"Primassanti, Dissa",1
"Sukmawati, Anggraini",56
"Dewi, Fitri Kurnia",1
"Novianti, Tanti",44
"Ali, Khalifah Muhamad",11
Qoriatusadiah,2
"Nurmalina, Rita",69
"Bhinaryanti, Ina",1
"Tinaprilla, Netti",57
"Wahyu, Hafizd",1
Suharno,53
"Fauziyyah, Muhjah",1
"Nadia, Nufita",1
"Murtini, Sri",37
"Esfandiari, Anita",30
"Ramdhani, Ervan Raka",1
"Wahju, Roni Irawan",1
Diniah,5
"Hakim, Fahrurrozi",1
"Santoso, Koekoeh",50
"Latif, Hadri",20
"Wida, Putri Gusfani",1
"Wahjuningrum, Dinamella",35
"Ismet, Meutia Samira",27
"Suryani, Nina",1
"Wresdiyati, Tutik",20
"Noviana, Deni",50
"Putra, Prima Prasetya",1
"Samosir, M Agustinus",1
"Setiawan, Herlambang Diah",1
"Sunartatie, Titiek",6
"Rochman, RM Rizal Dwinto",1
"Oktariza, Wawan",10
"Astarini, Julia Eka",16
"Faisal, Mhd",1
"Pratiwi, Niken Tunjung Murti",21
"Puspaningrum, Vena Ramdhania",1
"Suryaningtyas, Dyah Tjahyandari",19
Darmawan,31
"Rosalina, Febrianti",1
"Tiryana, Tatang",17
"Malau, Irene Fransiska",1
"Arifjaya, Nana Mulyana",6
"Wardhani, Annisa Choerinita Kusuma",1
"Saadah, Khatimatus",1
"Sumantri, Cece",59
"Darwati, Sri",29
"Cholifah, Umi Nur",1
Siswoyo,28
"Sari, Rita Kartika",39
"Karim, Fira Rizka",1
"Najib, Mukhamad",59
"Syamsun, Muhammad",5
"Putra, Gershanda Ghiffari Dwi",1
"Trison, Soni",11
"Damayanti, Dewi",1
"Syafii, Wasrin",33
"Yusra, Izzatul",1
"Sartono, Bagus",40
"Silaban, Irene Imelda Juliaty",1
"Farajallah, Achmad",44
"Miura, Takeshi",2
"Mulyana, Jeane Siswitasari",2
Rukmiasih,28
